IGBP_MODIS,IGBP_VIIRS,WUE,WUE_ECO,SIF,ET,Phase_Angle,SIF_Uncertainty,IGBP,WUE_gCkgH20,GPP,IGBP_class_MODIS,IGBP_class_VIIRS,SiteName,Lat,Lon,Timestamp,LocalTime,TOD,Season,kg_class,kg_confidence,kg_label,SPEI
2.0,2.0,0.041606843,1.8853523,0.12409893,2.8089285,52.19298,0.2694593,2.0,0.5671012765169144,1.6914683720469477,EBF,EBF,fos099,-29.0,31.0,2020-07-22 11:40:09,2020-07-22 13:30:00,Midday,Winter,14.0,95.0,Cfa,-0.4967578649520874
4.0,4.0,0.022436248,1.1941319,0.070903964,2.3545332,49.890274,0.24668954,4.0,0.30580606212839484,0.9664210339635612,DBF,DBF,fos099,-29.0,31.0,2020-07-22 11:40:09,2020-07-22 13:30:00,Midday,Winter,14.0,95.0,Cfa,-0.4967578649520874
8.0,8.0,0.018442653,1.241158,0.04997151,2.309978,50.23644,0.24661484,8.0,0.2513733620196581,0.6811116775497794,WSA,WSA,fos099,-29.0,31.0,2020-07-22 11:40:09,2020-07-22 13:30:00,Midday,Winter,14.0,95.0,Cfa,-0.4967578649520874
9.0,9.0,0.024742443,1.1953217,0.061872613,2.075542,51.29846,0.25411686,9.0,0.3372394996508956,0.8433237108960748,SAV,SAV,fos099,-29.0,31.0,2020-07-22 11:40:09,2020-07-22 13:30:00,Midday,Winter,14.0,95.0,Cfa,-0.4967578649520874
10.0,10.0,0.002128165,0.6160185,0.022395791,1.3242508,56.735073,0.25103474,10.0,0.02900688871042803,0.305254637952894,GRA,GRA,fos099,-29.0,31.0,2020-07-22 11:40:09,2020-07-22 13:30:00,Midday,Winter,14.0,95.0,Cfa,-0.4967578649520874
11.0,11.0,0.035643112,0.49578944,0.12563337,2.7130325,61.87166,0.24256693,11.0,0.48581561539322143,1.7123828856647016,WET,WET,fos099,-29.0,31.0,2020-07-22 11:40:09,2020-07-22 13:30:00,Midday,Winter,14.0,95.0,Cfa,-0.4967578649520874
12.0,12.0,0.02999671,1.3289146,0.06432063,1.3753619,52.58978,0.2609063,12.0,0.4088551559112966,0.8766902049630881,CRO,CRO,fos099,-29.0,31.0,2020-07-22 11:40:09,2020-07-22 13:30:00,Midday,Winter,14.0,95.0,Cfa,-0.4967578649520874
13.0,13.0,0.022980133,1.1404693,0.054971956,2.03283,52.589577,0.25557902,13.0,0.3132192137651146,0.7492677564173937,URB,URB,fos099,-29.0,31.0,2020-07-22 11:40:09,2020-07-22 13:30:00,Midday,Winter,14.0,95.0,Cfa,-0.4967578649520874
14.0,14.0,0.029024739,1.4458905,0.07272561,2.5679674,52.975876,0.26718798,14.0,0.3956071900948882,0.9912500499188901,CVM,CVM,fos099,-29.0,31.0,2020-07-22 11:40:09,2020-07-22 13:30:00,Midday,Winter,14.0,95.0,Cfa,-0.4967578649520874
17.0,17.0,0.053495105,0.3999896,0.12769607,2.6628034,58.0138,0.23190542,17.0,0.7291382860019804,1.7404973945021631,WAT,WAT,fos099,-29.0,31.0,2020-07-22 11:40:09,2020-07-22 13:30:00,Midday,Winter,14.0,95.0,Cfa,-0.4967578649520874
