IGBP_MODIS,IGBP_VIIRS,WUE,SIF,ET,LST,Phase_Angle,SIF_Uncertainty,IGBP,WUE_gCkgH20,GPP,IGBP_class_MODIS,IGBP_class_VIIRS,SiteName,Lat,Lon,Timestamp,LocalTime,TOD,Season,kg_class,kg_confidence,kg_label,SPEI
2.0,2.0,0.0014833224,0.39409724,252.62502,295.55994,52.19298,0.2694593,2.0,1.1484057759430744,5.371545364558697,EBF,EBF,fos099,-29.0,31.0,2020-07-22 11:40:09,2020-07-22 13:30:00,Midday,Winter,14.0,95.0,Cfa,-0.4967578649520874
4.0,4.0,0.000855912,0.22664319,197.26047,298.1825,49.890274,0.24668954,4.0,0.6626572227700634,3.089146676808596,DBF,DBF,fos099,-29.0,31.0,2020-07-22 11:40:09,2020-07-22 13:30:00,Midday,Winter,14.0,95.0,Cfa,-0.4967578649520874
8.0,8.0,0.00070309086,0.15972064,193.36563,298.1009,50.23644,0.24661484,8.0,0.5443412906777784,2.1769923825562003,WSA,WSA,fos099,-29.0,31.0,2020-07-22 11:40:09,2020-07-22 13:30:00,Midday,Winter,14.0,95.0,Cfa,-0.4967578649520874
9.0,9.0,0.0009679272,0.19777237,167.5395,299.1428,51.29846,0.25411686,9.0,0.7493807437285587,2.6956373865902425,SAV,SAV,fos099,-29.0,31.0,2020-07-22 11:40:09,2020-07-22 13:30:00,Midday,Winter,14.0,95.0,Cfa,-0.4967578649520874
10.0,10.0,9.215341e-05,0.07184098,98.070305,297.90192,56.735073,0.25103474,10.0,0.07134626274140225,0.9791925459355116,GRA,GRA,fos099,-29.0,31.0,2020-07-22 11:40:09,2020-07-22 13:30:00,Midday,Winter,14.0,95.0,Cfa,-0.4967578649520874
11.0,11.0,0.0016832177,0.40176454,189.27545,294.10242,61.87166,0.24256693,11.0,1.3031671306415145,5.476050705611706,WET,WET,fos099,-29.0,31.0,2020-07-22 11:40:09,2020-07-22 13:30:00,Midday,Winter,14.0,95.0,Cfa,-0.4967578649520874
12.0,12.0,0.0011615958,0.20420934,107.74454,299.08472,52.58978,0.2609063,12.0,0.8993212634089723,2.7833733396232128,CRO,CRO,fos099,-29.0,31.0,2020-07-22 11:40:09,2020-07-22 13:30:00,Midday,Winter,14.0,95.0,Cfa,-0.4967578649520874
13.0,13.0,0.0009198931,0.17369221,157.94807,299.1158,52.589577,0.25557902,13.0,0.7121921531833313,2.367424842864275,URB,URB,fos099,-29.0,31.0,2020-07-22 11:40:09,2020-07-22 13:30:00,Midday,Winter,14.0,95.0,Cfa,-0.4967578649520874
14.0,14.0,0.0011124385,0.23042797,213.53963,298.67865,52.975876,0.26718798,14.0,0.8612630974254853,3.140733170062304,CVM,CVM,fos099,-29.0,31.0,2020-07-22 11:40:09,2020-07-22 13:30:00,Midday,Winter,14.0,95.0,Cfa,-0.4967578649520874
7.0,7.0,-0.00089043315,-0.043492265,49.757053,301.438,49.51013,0.26990974,7.0,-0.6893839140839767,-0.5927995725721121,OSH,OSH,fos211,40.0,-117.0,2021-08-17 15:33:59,2021-08-17 08:00:00,Morning,Summer,5.0,69.0,BWk,-1.3057410717010498
10.0,10.0,-0.0010646436,-0.05635626,61.395798,294.03467,60.170895,0.25974438,10.0,-0.8242597242854843,-0.7681358059495688,GRA,GRA,fos211,40.0,-117.0,2021-08-17 15:33:59,2021-08-17 08:00:00,Morning,Summer,5.0,69.0,BWk,-1.3057410717010498
12.0,12.0,-0.00010712618,-0.012242332,151.56804,291.4608,52.706734,0.2831533,12.0,-0.08293835993135945,-0.16686298653483392,CRO,CRO,fos211,40.0,-117.0,2021-08-17 15:33:59,2021-08-17 08:00:00,Morning,Summer,5.0,69.0,BWk,-1.3057410717010498
13.0,13.0,0.0023028636,0.17123508,95.17933,296.22684,41.559814,0.27427953,13.0,1.7829043650510332,2.333934202194214,URB,URB,fos211,40.0,-117.0,2021-08-17 15:33:59,2021-08-17 08:00:00,Morning,Summer,5.0,69.0,BWk,-1.3057410717010498
16.0,16.0,0.0003045671,-0.012735541,55.47291,294.61594,47.924034,0.29703295,16.0,0.23579946742254215,-0.17358542353846135,BSV,BSV,fos211,40.0,-117.0,2021-08-17 15:33:59,2021-08-17 08:00:00,Morning,Summer,5.0,69.0,BWk,-1.3057410717010498
10.0,10.0,0.001073646,0.28921756,278.12894,264.93777,10.298557,0.36011773,10.0,0.8312294867896951,3.9420353630185128,GRA,GRA,fos057,39.0,-104.0,2020-05-31 21:43:00,2020-05-31 15:00:00,Afternoon,Spring,7.0,100.0,BSk,-1.135238766670227
8.0,8.0,0.0009152501,0.15806973,137.91425,290.94122,68.87075,0.29189706,8.0,0.708597493439953,2.1544904172420503,WSA,WSA,fos028,37.0,-121.0,2020-10-09 18:52:09,2020-10-09 11:00:00,Midday,Fall,7.0,91.0,BSk,-1.6503212451934814
9.0,9.0,-0.0023645523,-0.011691229,97.38555,289.66122,65.21514,0.24476384,9.0,-1.8306644981236613,-0.15935145696625114,SAV,SAV,fos028,37.0,-121.0,2020-10-09 18:52:09,2020-10-09 11:00:00,Midday,Fall,7.0,91.0,BSk,-1.6503212451934814
10.0,10.0,0.002318244,0.16544898,86.525085,291.00644,72.6653,0.26129907,10.0,1.794811996539541,2.2550695775449277,GRA,GRA,fos028,37.0,-121.0,2020-10-09 18:52:09,2020-10-09 11:00:00,Midday,Fall,7.0,91.0,BSk,-1.6503212451934814
12.0,12.0,0.0014998958,0.13013099,148.3137,292.9126,72.64892,0.27693164,12.0,1.1612371510744848,1.7736854119598866,CRO,CRO,fos028,37.0,-121.0,2020-10-09 18:52:09,2020-10-09 11:00:00,Midday,Fall,7.0,91.0,BSk,-1.6503212451934814
13.0,13.0,0.0033561024,0.37610573,136.71094,280.5411,73.502396,0.2537508,13.0,2.598334311459238,5.126321042180062,URB,URB,fos028,37.0,-121.0,2020-10-09 18:52:09,2020-10-09 11:00:00,Midday,Fall,7.0,91.0,BSk,-1.6503212451934814
1.0,1.0,0.001680617,0.46064758,239.83826,300.7971,74.905685,0.24535847,1.0,1.3011536236669372,6.2786265563964845,ENF,ENF,fos084,-33.0,-70.0,2021-03-01 18:26:30,2021-03-01 14:00:00,Midday,Fall,29.0,80.0,ET,-0.26964715123176575
6.0,6.0,0.0021567587,0.27107954,120.19191,279.28073,74.315,0.23514748,6.0,1.6697881750189016,3.6948141336441043,CSH,CSH,fos084,-33.0,-70.0,2021-03-01 18:26:30,2021-03-01 14:00:00,Midday,Fall,29.0,80.0,ET,-0.26964715123176575
7.0,7.0,0.0025130592,0.26980057,123.57696,287.1959,72.11974,0.24463008,7.0,1.9456402528782404,3.677381817996502,OSH,OSH,fos084,-33.0,-70.0,2021-03-01 18:26:30,2021-03-01 14:00:00,Midday,Fall,29.0,80.0,ET,-0.26964715123176575
8.0,8.0,0.00062077696,0.15561923,154.40125,295.68982,73.78713,0.24816628,8.0,0.48061289363116183,2.1210901573300363,WSA,WSA,fos084,-33.0,-70.0,2021-03-01 18:26:30,2021-03-01 14:00:00,Midday,Fall,29.0,80.0,ET,-0.26964715123176575
10.0,10.0,0.0021369986,0.18743533,99.68406,297.5141,49.268036,0.29796854,10.0,1.6544896679978265,2.554743533730507,GRA,GRA,fos084,-33.0,-70.0,2021-03-01 18:26:30,2021-03-01 14:00:00,Midday,Fall,29.0,80.0,ET,-0.26964715123176575
13.0,13.0,0.0051282765,0.4033828,142.34459,271.89536,73.73047,0.297121,13.0,3.9703725739039677,5.498107672631741,URB,URB,fos084,-33.0,-70.0,2021-03-01 18:26:30,2021-03-01 14:00:00,Midday,Fall,29.0,80.0,ET,-0.26964715123176575
16.0,16.0,0.0017155138,0.116997965,32.938,271.79486,48.55738,0.29053137,16.0,1.3281711198265744,1.594682258591056,BSV,BSV,fos084,-33.0,-70.0,2021-03-01 18:26:30,2021-03-01 14:00:00,Midday,Fall,29.0,80.0,ET,-0.26964715123176575
10.0,10.0,0.001985927,0.12725672,60.766792,302.9089,51.93741,0.23453757,10.0,1.5375283466071712,1.734509110748768,GRA,GRA,coc102,-22.0,27.0,2020-08-23 14:09:10,2020-08-23 16:00:00,Afternoon,Winter,6.0,100.0,BSh,-1.2362316846847534
