Variable,veg,Centroid Shift (hrs),Centroid Shift (hrs),Shift CI 2.5%,Shift CI 2.5%,Shift CI 97.5%,Shift CI 97.5%
,,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET
ET,CRO,-0.09,-0.05,-0.39,-0.08,0.23,-0.02
ET,CVM,-0.12,1.21,-0.43,0.57,0.2,1.88
ET,DBF,-0.16,-0.06,-0.46,-0.09,0.14,-0.03
ET,EBF,-0.08,-0.09,-0.3,-0.15,0.12,-0.03
ET,ENF,0.13,0.05,-0.09,0.01,0.34,0.08
ET,GRA,0.03,-0.01,-0.28,-0.04,0.34,0.02
ET,MF,-0.31,-0.03,-0.54,-0.08,-0.06,0.01
ET,OSH,-0.21,0.09,-0.72,0.01,0.25,0.15
ET,SAV,0.45,-0.24,0.17,-0.31,0.73,-0.18
ET,WSA,-0.2,0.02,-0.42,-0.04,-0.0,0.07
GPP,CRO,-0.09,-0.02,-0.55,-0.06,0.41,0.01
GPP,CVM,0.24,-5.12,-0.07,,0.56,
GPP,DBF,0.25,-0.1,0.04,-0.12,0.46,-0.08
GPP,EBF,0.91,0.01,0.43,-0.03,1.38,0.04
GPP,ENF,-0.2,-0.05,-0.5,-0.08,0.15,-0.02
GPP,GRA,-0.46,0.03,-1.1,0.0,0.19,0.06
GPP,MF,-0.52,-0.01,-0.78,-0.05,-0.26,0.03
GPP,OSH,2.4,-0.0,0.84,-0.1,4.05,0.09
GPP,SAV,0.73,-0.41,0.19,-0.47,1.23,-0.36
GPP,WSA,0.03,-0.14,-0.38,-0.2,0.4,-0.09
WUE,CRO,-0.22,-0.03,-0.93,-0.12,0.51,0.06
WUE,CVM,1.4,-4.35,0.68,,1.95,
WUE,DBF,1.02,-0.12,0.69,-0.22,1.37,-0.04
WUE,EBF,2.36,0.2,1.91,0.09,2.88,0.3
WUE,ENF,-2.22,-0.41,-3.09,-0.52,-1.29,-0.28
WUE,GRA,-0.57,0.1,-1.39,0.02,0.21,0.19
WUE,MF,-0.94,-0.3,-1.49,-0.48,-0.36,-0.11
WUE,OSH,3.29,0.09,1.31,-0.08,4.91,0.27
WUE,SAV,0.71,0.11,0.08,-0.01,1.33,0.22
WUE,WSA,0.21,-0.27,-0.29,-0.4,0.68,-0.14
