Variable,Veg,Centroid Shift (hrs),Centroid Shift (hrs),Shift CI 2.5%,Shift CI 2.5%,Shift CI 97.5%,Shift CI 97.5%
,,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET
ET,BSV,0.08,0.25,-0.15,-0.19,0.31,0.73
ET,CRO,-0.03,-0.06,-0.17,-0.08,0.11,-0.04
ET,CVM,0.02,0.09,-0.15,-0.05,0.19,0.18
ET,DBF,-0.29,-0.01,-0.45,-0.04,-0.12,0.02
ET,EBF,0.04,-0.11,-0.13,-0.18,0.21,-0.05
ET,ENF,-0.18,0.09,-0.34,0.05,-0.02,0.13
ET,GRA,-0.12,-0.08,-0.31,-0.11,0.08,-0.05
ET,MF,-0.04,0.11,-0.22,0.05,0.13,0.18
ET,OSH,0.23,-0.09,-0.17,-0.16,0.66,-0.03
ET,SAV,0.08,-0.55,-0.09,-0.61,0.26,-0.49
ET,WET,0.22,-0.14,-0.01,-0.18,0.45,-0.09
ET,WSA,-0.22,0.1,-0.36,0.04,-0.07,0.16
GPP,BSV,1.01,0.79,-1.35,-0.39,6.78,1.98
GPP,CRO,-0.34,-0.08,-0.82,-0.11,0.16,-0.05
GPP,CVM,-0.0,0.22,-0.31,-0.01,0.34,0.45
GPP,DBF,-0.26,0.03,-0.52,-0.01,0.0,0.07
GPP,EBF,0.05,-0.09,-0.39,-0.19,0.47,0.01
GPP,ENF,-0.36,0.1,-0.71,0.05,0.01,0.16
GPP,GRA,-0.61,0.14,-1.14,0.1,-0.06,0.17
GPP,MF,0.01,0.08,-0.28,0.01,0.31,0.14
GPP,OSH,-0.95,-0.11,-2.18,-0.2,0.64,-0.01
GPP,SAV,-0.18,0.31,-0.66,0.15,0.24,0.45
GPP,WET,-0.53,-0.13,-1.14,-0.18,-0.01,-0.07
GPP,WSA,-0.49,0.24,-0.9,0.14,-0.1,0.34
WUE,BSV,3.2,1.19,0.74,-1.66,10.39,4.88
WUE,CRO,-1.29,-0.01,-1.95,-0.22,-0.67,0.2
WUE,CVM,0.34,-0.05,-0.4,-2.05,1.05,2.01
WUE,DBF,-0.88,0.18,-1.69,-0.06,-0.12,0.45
WUE,EBF,0.5,-0.21,-0.29,-0.72,1.31,0.24
WUE,ENF,-0.87,0.36,-1.52,-0.05,-0.16,0.75
WUE,GRA,-1.22,0.72,-2.05,0.48,-0.37,0.97
WUE,MF,0.0,0.1,-0.56,-0.4,0.62,0.55
WUE,OSH,-1.06,0.06,-2.25,-0.26,0.38,0.4
WUE,SAV,-0.46,1.6,-1.26,0.76,0.33,2.5
WUE,WET,-1.09,0.55,-2.39,0.15,-0.14,1.01
WUE,WSA,-0.63,1.22,-1.26,0.67,-0.05,1.79
