Variable,veg,Centroid Shift (hrs),Centroid Shift (hrs),Shift CI 2.5%,Shift CI 2.5%,Shift CI 97.5%,Shift CI 97.5%
,,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET
ET,BSV,0.06,0.38,-0.16,0.04,0.26,0.72
ET,CRO,-0.08,-0.01,-0.22,-0.03,0.06,0.01
ET,CVM,0.03,0.23,-0.12,0.09,0.19,0.33
ET,DBF,-0.23,-0.06,-0.42,-0.09,-0.05,-0.03
ET,EBF,-0.02,0.01,-0.18,-0.05,0.13,0.07
ET,ENF,-0.19,0.08,-0.36,0.04,-0.04,0.12
ET,GRA,-0.13,-0.0,-0.32,-0.03,0.05,0.02
ET,MF,-0.02,0.05,-0.2,-0.01,0.15,0.12
ET,OSH,0.15,0.01,-0.22,-0.05,0.56,0.08
ET,SAV,0.03,-0.24,-0.16,-0.31,0.19,-0.18
ET,WET,0.22,-0.05,0.01,-0.09,0.46,-0.0
ET,WSA,-0.22,0.1,-0.35,0.04,-0.08,0.15
GPP,BSV,0.7,0.22,-2.12,0.11,11.48,0.34
GPP,CRO,-0.41,-0.06,-0.86,-0.08,0.08,-0.04
GPP,CVM,-0.03,0.06,-0.34,0.01,0.29,0.11
GPP,DBF,-0.31,-0.11,-0.59,-0.13,-0.04,-0.09
GPP,EBF,0.02,0.09,-0.43,0.05,0.43,0.12
GPP,ENF,-0.4,-0.02,-0.71,-0.05,-0.05,0.0
GPP,GRA,-0.61,0.02,-1.12,-0.0,-0.13,0.05
GPP,MF,0.06,0.01,-0.21,-0.03,0.33,0.05
GPP,OSH,-1.18,-0.0,-2.31,-0.08,0.34,0.07
GPP,SAV,-0.15,-0.41,-0.58,-0.47,0.3,-0.36
GPP,WET,-0.38,-0.09,-0.88,-0.13,0.08,-0.05
GPP,WSA,-0.48,-0.1,-0.86,-0.15,-0.08,-0.05
WUE,BSV,3.92,0.22,1.04,-0.08,12.18,0.51
WUE,CRO,-1.3,-0.08,-1.96,-0.15,-0.62,-0.02
WUE,CVM,0.32,0.09,-0.4,-0.07,1.1,0.25
WUE,DBF,-1.02,-0.15,-1.83,-0.23,-0.24,-0.06
WUE,EBF,0.42,0.27,-0.28,0.17,1.03,0.37
WUE,ENF,-0.86,-0.39,-1.51,-0.51,-0.19,-0.27
WUE,GRA,-1.12,0.07,-1.95,-0.0,-0.28,0.15
WUE,MF,0.05,-0.29,-0.48,-0.45,0.61,-0.11
WUE,OSH,-1.39,0.06,-2.48,-0.11,0.03,0.23
WUE,SAV,-0.31,0.11,-1.19,-0.01,0.46,0.22
WUE,WET,-1.12,-0.06,-2.02,-0.18,-0.31,0.07
WUE,WSA,-0.72,-0.23,-1.38,-0.33,-0.07,-0.12
