Variable,Site,Centroid Shift (hrs),Shift CI 2.5%,Shift CI 97.5%,N drought days,N non-drought days
GPP,AT-Nsd,-0.1,-0.17,-0.02,30.0,153.0
ET,AT-Nsd,0.03,-0.05,0.11,30.0,153.0
WUE,AT-Nsd,-0.33,-0.48,-0.18,30.0,153.0
GPP,AT-PsM,-0.17,-0.31,-0.02,30.0,30.0
ET,AT-PsM,0.03,-0.1,0.17,30.0,30.0
WUE,AT-PsM,-0.19,-0.67,0.25,30.0,30.0
GPP,AU-APL,-0.38,-0.46,-0.3,31.0,212.0
ET,AU-APL,-0.42,-0.55,-0.29,31.0,212.0
WUE,AU-APL,-0.02,-0.34,0.27,31.0,212.0
GPP,AU-ASM,-0.05,-0.19,0.09,125.0,121.0
ET,AU-ASM,-0.49,-0.98,0.01,125.0,121.0
WUE,AU-ASM,0.65,0.44,0.85,125.0,121.0
GPP,AU-Boy,-0.0,-0.09,0.09,28.0,116.0
ET,AU-Boy,-0.01,-0.37,0.47,28.0,116.0
WUE,AU-Boy,-0.06,-0.51,0.34,28.0,116.0
GPP,AU-Cpr,-0.21,-0.35,-0.08,91.0,212.0
ET,AU-Cpr,-0.13,-0.43,0.19,91.0,212.0
WUE,AU-Cpr,-0.13,-0.38,0.1,91.0,212.0
GPP,AU-Cum,-0.06,-0.13,-0.01,124.0,336.0
ET,AU-Cum,-0.15,-0.23,-0.07,124.0,336.0
WUE,AU-Cum,0.19,0.0,0.42,124.0,336.0
GPP,AU-DaS,-0.05,-0.11,0.01,96.0,290.0
ET,AU-DaS,0.13,0.03,0.23,96.0,290.0
WUE,AU-DaS,-0.14,-0.33,0.05,96.0,290.0
GPP,AU-Dry,-0.2,-0.27,-0.14,84.0,213.0
ET,AU-Dry,-0.06,-0.16,0.04,84.0,213.0
WUE,AU-Dry,-0.3,-0.52,-0.07,84.0,213.0
GPP,AU-GWW,-0.22,-0.33,-0.13,60.0,178.0
ET,AU-GWW,0.12,-0.12,0.35,60.0,178.0
WUE,AU-GWW,-0.22,-0.49,0.08,60.0,178.0
GPP,AU-Gin,-0.28,-0.33,-0.23,186.0,112.0
ET,AU-Gin,-0.27,-0.37,-0.16,186.0,112.0
WUE,AU-Gin,0.01,-0.19,0.2,186.0,112.0
GPP,AU-How,-0.08,-0.13,-0.02,89.0,244.0
ET,AU-How,0.06,-0.02,0.14,89.0,244.0
WUE,AU-How,-0.34,-0.61,-0.07,89.0,244.0
GPP,AU-Lon,-0.33,-0.64,-0.01,62.0,181.0
ET,AU-Lon,-0.51,-0.82,-0.18,62.0,181.0
WUE,AU-Lon,0.52,0.03,1.01,62.0,181.0
GPP,AU-Rgf,-5.98,,,35.0,115.0
ET,AU-Rgf,0.85,0.12,1.53,35.0,115.0
WUE,AU-Rgf,-5.92,,,35.0,115.0
GPP,AU-Sil,0.16,0.04,0.26,29.0,237.0
ET,AU-Sil,0.02,-0.07,0.11,29.0,237.0
WUE,AU-Sil,0.89,0.43,1.31,29.0,237.0
GPP,AU-Stp,-0.18,-0.31,-0.06,38.0,337.0
ET,AU-Stp,-1.26,-1.8,-0.72,38.0,337.0
WUE,AU-Stp,0.04,-0.35,0.45,38.0,337.0
GPP,AU-Wom,-0.12,-0.2,-0.04,64.0,115.0
ET,AU-Wom,-0.24,-0.38,-0.11,64.0,115.0
WUE,AU-Wom,-0.45,-0.77,-0.14,64.0,115.0
GPP,AU-Wrr,0.01,-0.12,0.13,29.0,209.0
ET,AU-Wrr,0.16,0.01,0.34,29.0,209.0
WUE,AU-Wrr,-0.27,-0.8,0.21,29.0,209.0
GPP,AU-Ya1,-0.2,-0.38,-0.03,31.0,124.0
ET,AU-Ya1,-0.66,-1.13,-0.29,31.0,124.0
WUE,AU-Ya1,0.6,0.16,1.02,31.0,124.0
GPP,AU-Ya2,-0.09,-0.19,0.01,31.0,124.0
ET,AU-Ya2,-0.1,-0.23,0.03,31.0,124.0
WUE,AU-Ya2,0.3,-0.06,0.67,31.0,124.0
GPP,AU-Ync,-0.51,-0.71,-0.32,62.0,176.0
ET,AU-Ync,-0.23,-0.48,0.05,62.0,176.0
WUE,AU-Ync,-0.74,-1.24,-0.28,62.0,176.0
GPP,BE-Bra,-0.16,-0.23,-0.1,92.0,277.0
ET,BE-Bra,-0.12,-0.2,-0.06,92.0,277.0
WUE,BE-Bra,-0.27,-0.56,0.02,92.0,277.0
GPP,BE-Dor,-0.03,-0.11,0.05,61.0,245.0
ET,BE-Dor,-0.06,-0.14,0.01,61.0,245.0
WUE,BE-Dor,-0.12,-0.43,0.2,61.0,245.0
GPP,BE-Lon,-0.27,-0.46,-0.09,94.0,246.0
ET,BE-Lon,-0.49,-0.59,-0.38,94.0,246.0
WUE,BE-Lon,-0.64,-1.08,-0.15,94.0,246.0
GPP,BE-Vie,0.0,-0.06,0.07,125.0,306.0
ET,BE-Vie,0.02,-0.05,0.09,125.0,306.0
WUE,BE-Vie,-0.5,-0.76,-0.26,125.0,306.0
GPP,CA-DB2,0.11,-0.0,0.22,31.0,183.0
ET,CA-DB2,-0.17,-0.28,-0.05,31.0,183.0
WUE,CA-DB2,0.9,0.3,1.52,31.0,183.0
GPP,CA-DBB,0.12,0.04,0.19,31.0,245.0
ET,CA-DBB,0.14,0.06,0.22,31.0,245.0
WUE,CA-DBB,-0.11,-0.5,0.28,31.0,245.0
GPP,CA-TPD,0.23,0.15,0.31,31.0,153.0
ET,CA-TPD,0.08,-0.03,0.19,31.0,153.0
WUE,CA-TPD,0.24,-0.26,0.8,31.0,153.0
GPP,CH-Cha,0.05,-0.06,0.14,125.0,217.0
ET,CH-Cha,0.09,-0.02,0.21,125.0,217.0
WUE,CH-Cha,-0.38,-0.65,-0.14,125.0,217.0
GPP,CL-SDF,0.26,0.14,0.39,59.0,26.0
ET,CL-SDF,0.25,0.07,0.42,59.0,26.0
WUE,CL-SDF,-0.22,-0.62,0.26,59.0,26.0
GPP,CL-SDP,0.19,0.05,0.33,45.0,31.0
ET,CL-SDP,0.19,0.0,0.4,45.0,31.0
WUE,CL-SDP,0.71,0.02,1.44,45.0,31.0
GPP,CN-BeO,-0.2,-0.73,0.34,30.0,122.0
ET,CN-BeO,-0.13,-0.67,0.34,30.0,122.0
WUE,CN-BeO,-1.08,-2.38,0.41,30.0,122.0
GPP,CN-Dmn,0.04,-0.02,0.11,64.0,220.0
ET,CN-Dmn,0.11,0.03,0.19,64.0,220.0
WUE,CN-Dmn,0.19,-0.16,0.5,64.0,220.0
GPP,CN-Dsh,-0.02,-0.13,0.09,8.0,333.0
ET,CN-Dsh,0.18,0.06,0.3,8.0,333.0
WUE,CN-Dsh,-0.91,-1.42,-0.33,8.0,333.0
GPP,CN-Dzo,-0.17,-0.26,-0.06,30.0,168.0
ET,CN-Dzo,-0.19,-0.32,-0.04,30.0,168.0
WUE,CN-Dzo,0.3,-0.22,0.79,30.0,168.0
GPP,CN-Huz,0.17,0.05,0.28,63.0,171.0
ET,CN-Huz,0.08,-0.28,0.44,63.0,171.0
WUE,CN-Huz,0.21,-0.09,0.49,63.0,171.0
GPP,CN-Jng,0.12,0.02,0.22,64.0,219.0
ET,CN-Jng,0.17,0.06,0.27,64.0,219.0
WUE,CN-Jng,-0.31,-0.72,0.12,64.0,219.0
GPP,CN-Sdq,0.02,-0.07,0.1,46.0,187.0
ET,CN-Sdq,0.06,-0.03,0.15,46.0,187.0
WUE,CN-Sdq,-0.33,-0.86,0.21,46.0,187.0
GPP,CN-Xi2,0.08,-0.08,0.25,30.0,93.0
ET,CN-Xi2,-0.16,-0.45,0.11,30.0,93.0
WUE,CN-Xi2,2.07,1.59,2.54,30.0,93.0
GPP,CN-You,-0.12,-0.27,0.02,32.0,291.0
ET,CN-You,0.1,-0.03,0.22,32.0,291.0
WUE,CN-You,-0.24,-0.77,0.34,32.0,291.0
GPP,CZ-BK1,-0.13,-0.21,-0.05,60.0,247.0
ET,CZ-BK1,-0.07,-0.16,0.02,60.0,247.0
WUE,CZ-BK1,-0.56,-0.84,-0.27,60.0,247.0
GPP,CZ-KrP,-0.06,-0.17,0.06,62.0,246.0
ET,CZ-KrP,0.01,-0.08,0.1,62.0,246.0
WUE,CZ-KrP,0.24,-0.05,0.55,62.0,246.0
GPP,CZ-Stn,-0.05,-0.15,0.03,30.0,215.0
ET,CZ-Stn,-0.13,-0.25,-0.02,30.0,215.0
WUE,CZ-Stn,-0.39,-0.84,0.07,30.0,215.0
GPP,CZ-wet,0.0,-0.08,0.08,62.0,246.0
ET,CZ-wet,0.11,0.01,0.19,62.0,246.0
WUE,CZ-wet,-0.2,-0.59,0.19,62.0,246.0
GPP,DE-Geb,-0.16,-0.32,0.02,90.0,117.0
ET,DE-Geb,0.14,-0.0,0.27,90.0,117.0
WUE,DE-Geb,-0.74,-1.24,-0.2,90.0,117.0
GPP,DE-Gri,-0.01,-0.16,0.12,92.0,185.0
ET,DE-Gri,0.12,0.02,0.21,92.0,185.0
WUE,DE-Gri,-0.58,-1.02,-0.15,92.0,185.0
GPP,DE-Hai,-0.35,-0.43,-0.27,184.0,227.0
ET,DE-Hai,-0.38,-0.47,-0.28,184.0,227.0
WUE,DE-Hai,-0.28,-0.54,-0.04,184.0,227.0
GPP,DE-Kli,-0.08,-0.21,0.06,92.0,185.0
ET,DE-Kli,0.06,-0.06,0.17,92.0,185.0
WUE,DE-Kli,-0.56,-1.03,-0.1,92.0,185.0
GPP,DE-Msr,-0.1,-0.24,0.04,28.0,171.0
ET,DE-Msr,0.27,0.13,0.41,28.0,171.0
WUE,DE-Msr,-1.21,-1.8,-0.62,28.0,171.0
GPP,DE-Obe,-0.17,-0.28,-0.07,92.0,173.0
ET,DE-Obe,-0.3,-0.46,-0.14,92.0,173.0
WUE,DE-Obe,0.31,-0.03,0.65,92.0,173.0
GPP,DE-Rns,-0.27,-0.41,-0.13,94.0,157.0
ET,DE-Rns,-0.04,-0.15,0.06,94.0,157.0
WUE,DE-Rns,-0.65,-0.98,-0.34,94.0,157.0
GPP,DE-RuR,-0.09,-0.16,-0.02,126.0,247.0
ET,DE-RuR,0.07,0.02,0.13,126.0,247.0
WUE,DE-RuR,-0.86,-1.14,-0.57,126.0,247.0
GPP,DE-RuS,-0.09,-0.18,0.0,185.0,274.0
ET,DE-RuS,-0.09,-0.16,-0.03,185.0,274.0
WUE,DE-RuS,-0.29,-0.52,-0.01,185.0,274.0
GPP,DE-Tha,-0.11,-0.19,-0.03,92.0,185.0
ET,DE-Tha,-0.03,-0.19,0.11,92.0,185.0
WUE,DE-Tha,-0.83,-1.14,-0.53,92.0,185.0
GPP,ES-Abr,-0.98,-1.11,-0.83,62.0,153.0
ET,ES-Abr,-0.04,-0.27,0.19,62.0,153.0
WUE,ES-Abr,-0.99,-1.32,-0.65,62.0,153.0
GPP,ES-Cnd,-0.69,-0.85,-0.52,32.0,121.0
ET,ES-Cnd,-0.14,-0.44,0.1,32.0,121.0
WUE,ES-Cnd,-0.15,-0.53,0.24,32.0,121.0
GPP,ES-HdD,0.11,0.01,0.2,32.0,30.0
ET,ES-HdD,0.7,0.2,1.24,32.0,30.0
WUE,ES-HdD,-0.13,-0.4,0.12,32.0,30.0
GPP,ES-LJu,-0.27,-0.39,-0.15,30.0,188.0
ET,ES-LJu,-0.15,-0.39,0.1,30.0,188.0
WUE,ES-LJu,-0.49,-0.9,-0.09,30.0,188.0
GPP,ES-LM1,-0.49,-0.57,-0.4,185.0,186.0
ET,ES-LM1,-0.36,-0.44,-0.28,185.0,186.0
WUE,ES-LM1,0.13,-0.05,0.3,185.0,186.0
GPP,ES-LM2,-0.24,-0.31,-0.17,179.0,184.0
ET,ES-LM2,-0.32,-0.41,-0.23,179.0,184.0
WUE,ES-LM2,0.36,0.17,0.56,179.0,184.0
GPP,ES-Pzb,0.05,-0.08,0.19,125.0,85.0
ET,ES-Pzb,-0.19,-0.37,-0.02,125.0,85.0
WUE,ES-Pzb,-0.09,-0.31,0.14,125.0,85.0
GPP,ES-TzM,0.05,-0.03,0.13,32.0,156.0
ET,ES-TzM,-0.05,-0.13,0.04,32.0,156.0
WUE,ES-TzM,0.14,-0.28,0.63,32.0,156.0
GPP,FR-Aur,-0.19,-0.32,-0.06,39.0,306.0
ET,FR-Aur,-0.28,-0.41,-0.16,39.0,306.0
WUE,FR-Aur,-0.42,-0.82,0.04,39.0,306.0
GPP,FR-Bil,-0.15,-0.28,-0.04,93.0,304.0
ET,FR-Bil,-0.22,-0.36,-0.07,93.0,304.0
WUE,FR-Bil,-0.01,-0.72,0.73,93.0,304.0
GPP,FR-EM2,-0.21,-0.42,-0.03,94.0,277.0
ET,FR-EM2,-0.28,-0.41,-0.16,94.0,277.0
WUE,FR-EM2,0.32,-0.22,0.88,94.0,277.0
GPP,FR-Fon,-0.06,-0.14,0.01,92.0,249.0
ET,FR-Fon,-0.26,-0.34,-0.18,92.0,249.0
WUE,FR-Fon,0.1,-0.31,0.52,92.0,249.0
GPP,FR-Gri,-0.32,-0.54,-0.11,124.0,239.0
ET,FR-Gri,-0.34,-0.46,-0.22,124.0,239.0
WUE,FR-Gri,0.09,-0.49,0.7,124.0,239.0
GPP,FR-Lam,-0.07,-0.22,0.07,62.0,123.0
ET,FR-Lam,-0.58,-0.68,-0.49,62.0,123.0
WUE,FR-Lam,1.34,0.95,1.76,62.0,123.0
GPP,FR-Lqu,0.28,0.17,0.38,31.0,60.0
ET,FR-Lqu,0.08,-0.06,0.24,31.0,60.0
WUE,FR-Lqu,-0.07,-0.54,0.38,31.0,60.0
GPP,FR-Mej,-0.08,-0.2,0.03,85.0,341.0
ET,FR-Mej,-0.04,-0.11,0.04,85.0,341.0
WUE,FR-Mej,-0.3,-0.6,0.0,85.0,341.0
GPP,FR-Pue,-0.81,-0.97,-0.66,32.0,277.0
ET,FR-Pue,-0.13,-0.26,0.01,32.0,277.0
WUE,FR-Pue,-0.3,-0.66,0.09,32.0,277.0
GPP,FR-Tou,0.08,-0.04,0.19,95.0,247.0
ET,FR-Tou,-0.37,-0.47,-0.27,95.0,247.0
WUE,FR-Tou,0.9,0.62,1.15,95.0,247.0
GPP,IL-Yat,-0.24,-0.58,0.11,123.0,91.0
ET,IL-Yat,0.64,0.32,0.98,123.0,91.0
WUE,IL-Yat,-1.06,-1.74,-0.34,123.0,91.0
GPP,IT-Arz,-0.31,-0.4,-0.23,29.0,230.0
ET,IT-Arz,-0.19,-0.29,-0.1,29.0,230.0
WUE,IT-Arz,0.12,-0.16,0.38,29.0,230.0
GPP,IT-BCi,0.06,-0.07,0.19,120.0,237.0
ET,IT-BCi,-0.08,-0.15,-0.0,120.0,237.0
WUE,IT-BCi,0.26,-0.03,0.52,120.0,237.0
GPP,IT-BFt,-0.15,-0.19,-0.11,94.0,282.0
ET,IT-BFt,-0.05,-0.12,0.02,94.0,282.0
WUE,IT-BFt,-0.49,-0.76,-0.21,94.0,282.0
GPP,IT-BsB,0.06,-0.03,0.15,64.0,155.0
ET,IT-BsB,-0.07,-0.23,0.08,64.0,155.0
WUE,IT-BsB,0.31,0.05,0.57,64.0,155.0
GPP,IT-Cp2,-0.42,-0.54,-0.31,60.0,244.0
ET,IT-Cp2,-0.35,-0.51,-0.19,60.0,244.0
WUE,IT-Cp2,-0.14,-0.62,0.35,60.0,244.0
GPP,IT-Lsn,-0.15,-0.2,-0.1,91.0,273.0
ET,IT-Lsn,-0.06,-0.12,-0.01,91.0,273.0
WUE,IT-Lsn,-0.45,-0.79,-0.15,91.0,273.0
GPP,IT-MBo,0.11,-0.0,0.22,31.0,247.0
ET,IT-MBo,0.03,-0.08,0.13,31.0,247.0
WUE,IT-MBo,0.02,-0.48,0.58,31.0,247.0
GPP,IT-NiG,-0.06,-0.12,-0.01,160.0,249.0
ET,IT-NiG,-0.17,-0.26,-0.08,160.0,249.0
WUE,IT-NiG,-0.07,-0.25,0.12,160.0,249.0
GPP,IT-SR2,0.25,0.18,0.32,92.0,240.0
ET,IT-SR2,0.12,-0.05,0.28,92.0,240.0
WUE,IT-SR2,-0.03,-0.38,0.35,92.0,240.0
GPP,JP-Fjy,-0.31,-0.42,-0.2,32.0,124.0
ET,JP-Fjy,-0.08,-0.21,0.05,32.0,124.0
WUE,JP-Fjy,-0.34,-0.64,-0.04,32.0,124.0
GPP,JP-Tmd,0.4,0.3,0.49,31.0,269.0
ET,JP-Tmd,0.19,0.05,0.32,31.0,269.0
WUE,JP-Tmd,0.53,0.29,0.77,31.0,269.0
GPP,KE-Aq2,0.15,0.0,0.33,19.0,9.0
ET,KE-Aq2,-0.89,-1.25,-0.55,19.0,9.0
WUE,KE-Aq2,0.57,-0.16,1.31,19.0,9.0
GPP,KR-AdC,0.09,-0.03,0.2,32.0,31.0
ET,KR-AdC,0.05,-0.15,0.29,32.0,31.0
WUE,KR-AdC,-0.23,-0.59,0.09,32.0,31.0
GPP,KR-CRK,-0.17,-0.28,-0.06,31.0,31.0
ET,KR-CRK,0.27,0.06,0.49,31.0,31.0
WUE,KR-CRK,-1.36,-1.74,-0.97,31.0,31.0
GPP,KR-GmR,-0.06,-0.19,0.06,32.0,60.0
ET,KR-GmR,-0.6,-0.72,-0.48,32.0,60.0
WUE,KR-GmR,0.6,0.31,0.89,32.0,60.0
GPP,KR-GmS,0.01,-0.1,0.12,32.0,60.0
ET,KR-GmS,0.14,-0.01,0.28,32.0,60.0
WUE,KR-GmS,-0.81,-1.05,-0.54,32.0,60.0
GPP,KR-HPK,0.13,0.0,0.26,32.0,63.0
ET,KR-HPK,-0.0,-0.13,0.12,32.0,63.0
WUE,KR-HPK,0.38,0.09,0.71,32.0,63.0
GPP,KR-Hnm,0.2,0.08,0.3,32.0,94.0
ET,KR-Hnm,-0.05,-0.3,0.17,32.0,94.0
WUE,KR-Hnm,0.3,-0.02,0.61,32.0,94.0
GPP,KR-Kw1,-0.2,-0.34,-0.06,32.0,32.0
ET,KR-Kw1,0.01,-0.27,0.27,32.0,32.0
WUE,KR-Kw1,-0.92,-1.41,-0.39,32.0,32.0
GPP,KR-Kw2,-0.22,-0.4,-0.05,32.0,32.0
ET,KR-Kw2,-0.2,-0.47,0.08,32.0,32.0
WUE,KR-Kw2,-0.7,-1.23,-0.2,32.0,32.0
GPP,KR-SmM,0.18,0.09,0.27,64.0,31.0
ET,KR-SmM,0.3,-0.01,0.63,64.0,31.0
WUE,KR-SmM,-0.01,-0.41,0.38,64.0,31.0
GPP,KR-WdE,0.19,0.06,0.31,29.0,53.0
ET,KR-WdE,0.54,0.26,0.81,29.0,53.0
WUE,KR-WdE,-0.4,-0.81,0.04,29.0,53.0
GPP,NZ-ADd,-0.0,-0.14,0.13,59.0,122.0
ET,NZ-ADd,-0.25,-0.39,-0.11,59.0,122.0
WUE,NZ-ADd,0.49,0.05,0.92,59.0,122.0
GPP,NZ-ADw,0.24,0.16,0.32,87.0,213.0
ET,NZ-ADw,-0.15,-0.29,0.0,87.0,213.0
WUE,NZ-ADw,-0.12,-0.42,0.2,87.0,213.0
GPP,NZ-Lau,-0.18,-0.32,-0.05,61.0,183.0
ET,NZ-Lau,0.1,-0.02,0.22,61.0,183.0
WUE,NZ-Lau,-0.14,-0.38,0.09,61.0,183.0
GPP,SN-Dhr,-0.5,-0.66,-0.35,118.0,154.0
ET,SN-Dhr,-0.03,-0.22,0.18,118.0,154.0
WUE,SN-Dhr,0.12,-0.07,0.32,118.0,154.0
GPP,SN-Nkr,0.16,0.08,0.25,120.0,271.0
