Variable,kg_label,Centroid Shift (hrs),Centroid Shift (hrs),Shift CI 2.5%,Shift CI 2.5%,Shift CI 97.5%,Shift CI 97.5%
,,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET
ET,Aw,,0.05,,0.0,,0.1
ET,BSk,0.07,0.07,-0.13,0.02,0.28,0.12
ET,BWh,1.5,0.09,1.19,-0.07,1.84,0.24
ET,Cfa,0.2,0.04,0.06,0.01,0.36,0.06
ET,Cfb,-0.01,-0.18,-0.12,-0.21,0.12,-0.15
ET,Csa,-0.27,-0.01,-0.63,-0.05,0.08,0.03
ET,Csb,0.76,-0.14,0.54,-0.22,0.98,-0.07
ET,Dfb,0.98,-0.01,0.75,-0.04,1.2,0.02
ET,ET,-0.14,-0.24,-0.38,-0.3,0.1,-0.19
GPP,Aw,,-0.02,,-0.06,,0.02
GPP,BSk,-0.03,0.09,-0.37,0.02,0.31,0.15
GPP,BWh,3.44,-0.3,2.32,-0.4,4.41,-0.2
GPP,Cfa,0.22,-0.01,-0.03,-0.04,0.45,0.01
GPP,Cfb,0.4,-0.15,0.12,-0.17,0.74,-0.12
GPP,Csa,0.84,-0.0,0.38,-0.04,1.3,0.03
GPP,Csb,0.47,0.06,0.16,-0.0,0.81,0.12
GPP,Dfb,0.91,0.0,0.61,-0.02,1.21,0.02
GPP,ET,0.49,-0.16,-0.58,-0.2,1.81,-0.11
WUE,Aw,,-0.11,,-0.24,,0.03
WUE,BSk,-1.29,0.27,-1.89,0.12,-0.71,0.41
WUE,BWh,3.95,0.17,3.31,0.0,4.69,0.34
WUE,Cfa,-0.47,-0.22,-0.97,-0.29,0.06,-0.14
WUE,Cfb,1.04,-0.19,0.66,-0.27,1.42,-0.11
WUE,Csa,0.93,-0.16,-0.07,-0.24,2.08,-0.08
WUE,Csb,1.59,0.71,0.83,0.51,2.32,0.92
WUE,Dfb,0.99,-0.02,0.57,-0.1,1.43,0.07
WUE,ET,3.17,0.16,2.07,-0.01,4.25,0.33
