Variable,kg_label,Centroid Shift (hrs),Centroid Shift (hrs),Shift CI 2.5%,Shift CI 2.5%,Shift CI 97.5%,Shift CI 97.5%
,,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET
ET,BSk,0.26,-0.04,0.05,-0.11,0.48,0.02
ET,BWh,-0.43,-0.06,-0.79,-0.22,-0.09,0.09
ET,BWk,-0.63,0.07,-0.98,0.01,-0.3,0.13
ET,Cfa,-0.97,-0.02,-1.13,-0.04,-0.83,0.01
ET,Cfb,0.65,-0.17,0.52,-0.2,0.79,-0.15
ET,Csa,-0.34,-0.14,-0.51,-0.18,-0.16,-0.11
ET,Csb,-0.69,-0.2,-0.86,-0.27,-0.53,-0.12
ET,Dfa,0.08,-0.05,-0.05,-0.07,0.22,-0.02
ET,Dfb,0.49,-0.0,0.38,-0.03,0.61,0.03
GPP,BSk,-0.4,0.28,-1.03,0.17,0.27,0.38
GPP,BWh,-0.14,-0.34,-0.99,-0.62,0.67,-0.08
GPP,BWk,-0.76,-0.12,-1.61,-0.23,0.35,-0.01
GPP,Cfa,-0.54,-0.03,-0.81,-0.06,-0.26,0.01
GPP,Cfb,0.97,-0.03,0.73,-0.07,1.23,0.01
GPP,Csa,0.11,-0.19,-0.14,-0.23,0.42,-0.15
GPP,Csb,-0.4,-0.25,-0.75,-0.36,-0.04,-0.13
GPP,Dfa,-0.04,-0.08,-0.25,-0.12,0.17,-0.03
GPP,Dfb,-0.21,0.09,-0.57,0.06,0.17,0.13
WUE,BSk,-0.48,1.86,-1.23,1.43,0.37,2.27
WUE,BWh,-0.08,-0.64,-1.35,-1.15,0.8,-0.15
WUE,BWk,-0.36,-1.85,-1.54,-2.72,1.41,-0.92
WUE,Cfa,-0.43,0.64,-1.07,0.3,0.31,0.99
WUE,Cfb,1.21,0.26,0.79,-0.01,1.65,0.53
WUE,Csa,1.31,-0.33,0.65,-0.56,1.9,-0.1
WUE,Csb,0.64,-0.88,-0.23,-1.57,1.41,-0.18
WUE,Dfa,0.21,0.02,-0.17,-0.45,0.57,0.56
WUE,Dfb,-2.11,0.35,-2.73,0.09,-1.41,0.61
