Variable,kg_label,Centroid Shift (hrs),Centroid Shift (hrs),Shift CI 2.5%,Shift CI 2.5%,Shift CI 97.5%,Shift CI 97.5%
,,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET
ET,BSk,0.26,0.13,0.05,0.07,0.48,0.19
ET,BWh,-0.43,0.09,-0.79,-0.07,-0.09,0.24
ET,BWk,-0.63,0.19,-0.98,0.13,-0.3,0.25
ET,Cfa,-0.97,0.04,-1.13,0.01,-0.83,0.06
ET,Cfb,0.65,-0.17,0.52,-0.2,0.79,-0.15
ET,Csa,-0.34,0.0,-0.51,-0.04,-0.16,0.04
ET,Csb,-0.69,-0.14,-0.86,-0.22,-0.53,-0.07
ET,Dfa,0.08,-0.04,-0.05,-0.07,0.22,-0.01
ET,Dfb,0.49,-0.01,0.38,-0.04,0.61,0.02
GPP,BSk,-0.4,0.15,-1.03,0.07,0.27,0.23
GPP,BWh,-0.14,-0.3,-0.99,-0.4,0.67,-0.2
GPP,BWk,-0.76,0.08,-1.61,0.02,0.35,0.15
GPP,Cfa,-0.54,-0.01,-0.81,-0.04,-0.26,0.01
GPP,Cfb,0.97,-0.14,0.73,-0.16,1.23,-0.12
GPP,Csa,0.11,-0.01,-0.14,-0.04,0.42,0.03
GPP,Csb,-0.4,0.06,-0.75,-0.0,-0.04,0.12
GPP,Dfa,-0.04,-0.1,-0.25,-0.12,0.17,-0.07
GPP,Dfb,-0.21,0.0,-0.57,-0.02,0.17,0.03
WUE,BSk,-0.48,0.31,-1.23,0.13,0.37,0.49
WUE,BWh,-0.08,0.17,-1.35,0.0,0.8,0.34
WUE,BWk,-0.36,-0.19,-1.54,-0.38,1.41,0.0
WUE,Cfa,-0.43,-0.22,-1.07,-0.29,0.31,-0.14
WUE,Cfb,1.21,-0.19,0.79,-0.26,1.65,-0.12
WUE,Csa,1.31,-0.2,0.65,-0.28,1.9,-0.12
WUE,Csb,0.64,0.71,-0.23,0.51,1.41,0.92
WUE,Dfa,0.21,-0.08,-0.17,-0.16,0.57,-0.0
WUE,Dfb,-2.11,-0.02,-2.73,-0.1,-1.41,0.07
