Variable,kg_label,Centroid Shift (hrs),Centroid Shift (hrs),Shift CI 2.5%,Shift CI 2.5%,Shift CI 97.5%,Shift CI 97.5%
,,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET
ET,BSk,0.65,-0.2,0.44,-0.28,0.84,-0.13
ET,BWk,0.16,-0.06,-0.15,-0.15,0.47,0.04
ET,Cfa,-0.42,0.02,-0.58,-0.01,-0.26,0.05
ET,Cfb,0.22,-0.12,0.11,-0.15,0.32,-0.09
ET,Csa,-0.42,-0.32,-0.59,-0.41,-0.25,-0.25
ET,Dfa,0.51,-0.02,0.38,-0.05,0.65,0.01
ET,Dfb,0.4,0.01,0.26,-0.02,0.54,0.04
GPP,BSk,-0.07,-0.1,-0.5,-0.2,0.38,-0.02
GPP,BWk,0.3,-0.15,-0.22,-0.24,0.85,-0.04
GPP,Cfa,-0.13,0.03,-0.41,0.0,0.16,0.05
GPP,Cfb,0.67,-0.1,0.45,-0.13,0.9,-0.07
GPP,Csa,-0.48,-0.29,-0.76,-0.33,-0.18,-0.25
GPP,Dfa,0.46,-0.08,0.26,-0.11,0.66,-0.04
GPP,Dfb,0.69,0.0,0.45,-0.02,0.94,0.03
WUE,BSk,-0.41,0.29,-1.15,0.05,0.32,0.54
WUE,BWk,0.12,-0.26,-0.58,-0.52,0.9,-0.01
WUE,Cfa,-0.0,-0.06,-0.74,-0.13,0.85,0.03
WUE,Cfb,0.94,-0.13,0.49,-0.22,1.41,-0.05
WUE,Csa,-0.7,0.31,-1.42,0.18,-0.05,0.44
WUE,Dfa,0.63,-0.18,0.32,-0.28,0.91,-0.08
WUE,Dfb,0.05,-0.08,-0.32,-0.17,0.42,0.01
