Variable,veg,Centroid Shift (hrs),Centroid Shift (hrs),Shift CI 2.5%,Shift CI 2.5%,Shift CI 97.5%,Shift CI 97.5%
,,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET
ET,BSV,-0.23,0.22,-0.48,-0.18,0.05,0.58
ET,CRO,0.23,-0.11,0.07,-0.13,0.38,-0.08
ET,CVM,0.1,-0.72,-0.03,-0.98,0.22,-0.47
ET,DBF,-0.25,-0.1,-0.39,-0.14,-0.1,-0.08
ET,EBF,-0.04,-0.03,-0.18,-0.11,0.08,0.05
ET,ENF,0.04,0.14,-0.1,0.1,0.19,0.18
ET,GRA,0.08,0.01,-0.12,-0.02,0.25,0.03
ET,MF,-0.09,0.02,-0.27,-0.05,0.09,0.08
ET,OSH,-0.12,-0.03,-0.5,-0.1,0.3,0.04
ET,SAV,0.08,-0.28,-0.09,-0.38,0.26,-0.19
ET,WET,0.05,-0.14,-0.07,-0.2,0.19,-0.08
ET,WSA,0.07,0.15,-0.09,0.11,0.23,0.2
GPP,BSV,-4.99,0.19,-46.75,0.08,31.55,0.3
GPP,CRO,0.23,-0.07,-0.14,-0.09,0.6,-0.04
GPP,CVM,0.08,,-0.25,,0.39,
GPP,DBF,-0.16,-0.1,-0.4,-0.12,0.11,-0.08
GPP,EBF,0.18,0.06,-0.16,0.03,0.58,0.09
GPP,ENF,-0.24,-0.0,-0.62,-0.04,0.13,0.03
GPP,GRA,-0.53,0.02,-0.92,-0.01,-0.1,0.05
GPP,MF,-0.03,0.06,-0.3,0.02,0.23,0.1
GPP,OSH,-0.71,-0.09,-1.91,-0.17,0.77,-0.01
GPP,SAV,-0.18,-0.2,-0.57,-0.27,0.19,-0.13
GPP,WET,-0.39,-0.1,-0.77,-0.15,-0.04,-0.04
GPP,WSA,-0.36,-0.0,-0.77,-0.05,0.01,0.05
WUE,BSV,10.78,0.04,-48.35,-0.19,46.25,0.28
WUE,CRO,-0.48,-0.2,-1.01,-0.28,-0.01,-0.12
WUE,CVM,-0.14,,-0.57,,0.32,
WUE,DBF,-0.99,-0.01,-1.95,-0.11,-0.05,0.08
WUE,EBF,0.95,0.35,0.35,0.24,1.57,0.46
WUE,ENF,-0.77,-0.32,-1.42,-0.43,-0.1,-0.19
WUE,GRA,-0.98,0.09,-1.79,0.03,-0.2,0.17
WUE,MF,-0.05,-0.05,-0.69,-0.23,0.5,0.14
WUE,OSH,-0.97,-0.31,-2.14,-0.49,0.69,-0.12
WUE,SAV,-0.67,0.46,-1.38,0.34,0.03,0.59
WUE,WET,-0.65,0.18,-1.08,0.0,-0.25,0.36
WUE,WSA,-0.62,-0.15,-1.28,-0.27,-0.02,-0.04
