Variable,veg,SPEI Bin,ECOCO,FLUXNET,Difference (hrs)
ET,CRO,Drought,11:28,12:00,-0.53
ET,CRO,Non-Drought,11:33,12:03,-0.49
ET,CVM,Drought,11:22,12:45,-1.38
ET,CVM,Non-Drought,11:29,11:32,-0.05
ET,DBF,Drought,11:48,11:46,0.03
ET,DBF,Non-Drought,11:57,11:50,0.12
ET,EBF,Drought,11:24,11:27,-0.05
ET,EBF,Non-Drought,11:29,11:33,-0.06
ET,ENF,Drought,11:33,11:48,-0.25
ET,ENF,Non-Drought,11:26,11:45,-0.33
ET,GRA,Drought,11:30,11:49,-0.31
ET,GRA,Non-Drought,11:28,11:49,-0.35
ET,MF,Drought,11:17,11:50,-0.56
ET,MF,Non-Drought,11:36,11:52,-0.28
ET,OSH,Drought,11:05,11:48,-0.73
ET,OSH,Non-Drought,11:17,11:43,-0.43
ET,SAV,Drought,11:54,11:31,0.39
ET,SAV,Non-Drought,11:27,11:45,-0.3
ET,WSA,Drought,11:23,11:56,-0.55
ET,WSA,Non-Drought,11:35,11:55,-0.33
GPP,CRO,Drought,11:57,11:29,0.47
GPP,CRO,Non-Drought,12:03,11:31,0.53
GPP,CVM,Drought,12:09,06:00,6.16
GPP,CVM,Non-Drought,11:55,11:06,0.81
GPP,DBF,Drought,12:26,11:16,1.17
GPP,DBF,Non-Drought,12:11,11:22,0.82
GPP,EBF,Drought,12:52,11:25,1.46
GPP,EBF,Non-Drought,11:58,11:24,0.55
GPP,ENF,Drought,11:34,11:20,0.22
GPP,ENF,Non-Drought,11:45,11:23,0.37
GPP,GRA,Drought,12:11,11:27,0.73
GPP,GRA,Non-Drought,12:39,11:25,1.22
GPP,MF,Drought,11:29,11:25,0.07
GPP,MF,Non-Drought,12:01,11:26,0.59
GPP,OSH,Drought,12:35,11:23,1.19
GPP,OSH,Non-Drought,10:11,11:24,-1.22
GPP,SAV,Drought,12:53,10:43,2.17
GPP,SAV,Non-Drought,12:10,11:08,1.02
GPP,WSA,Drought,11:54,11:16,0.63
GPP,WSA,Non-Drought,11:53,11:25,0.46
WUE,CRO,Drought,12:32,10:22,2.16
WUE,CRO,Non-Drought,12:45,10:24,2.34
WUE,CVM,Drought,14:00,06:00,8.01
WUE,CVM,Non-Drought,12:36,10:21,2.26
WUE,DBF,Drought,13:54,10:12,3.69
WUE,DBF,Non-Drought,12:52,10:20,2.54
WUE,EBF,Drought,14:16,11:18,2.97
WUE,EBF,Non-Drought,11:55,11:06,0.81
WUE,ENF,Drought,11:00,10:06,0.89
WUE,ENF,Non-Drought,13:13,10:31,2.71
WUE,GRA,Drought,12:40,10:37,2.04
WUE,GRA,Non-Drought,13:14,10:31,2.72
WUE,MF,Drought,11:43,10:18,1.41
WUE,MF,Non-Drought,12:39,10:36,2.05
WUE,OSH,Drought,14:05,10:59,3.11
WUE,OSH,Non-Drought,10:48,10:54,-0.09
WUE,SAV,Drought,13:43,10:27,3.26
WUE,SAV,Non-Drought,13:00,10:21,2.66
WUE,WSA,Drought,12:39,10:30,2.14
WUE,WSA,Non-Drought,12:26,10:46,1.66
