Variable,veg,SPEI Bin,ECOCO,FLUXNET,Difference (hrs)
ET,BSV,Drought,11:37,11:50,-0.21
ET,BSV,Non-Drought,11:33,11:27,0.1
ET,CRO,Drought,11:47,12:00,-0.21
ET,CRO,Non-Drought,11:52,12:00,-0.15
ET,CVM,Drought,11:54,12:04,-0.17
ET,CVM,Non-Drought,11:52,11:50,0.04
ET,DBF,Drought,11:51,11:46,0.09
ET,DBF,Non-Drought,12:05,11:49,0.26
ET,EBF,Drought,11:56,11:27,0.48
ET,EBF,Non-Drought,11:57,11:27,0.51
ET,ENF,Drought,11:41,11:50,-0.15
ET,ENF,Non-Drought,11:53,11:45,0.12
ET,GRA,Drought,11:43,11:49,-0.11
ET,GRA,Non-Drought,11:51,11:49,0.02
ET,MF,Drought,11:50,11:56,-0.1
ET,MF,Non-Drought,11:51,11:53,-0.03
ET,OSH,Drought,11:35,11:44,-0.16
ET,OSH,Non-Drought,11:26,11:43,-0.29
ET,SAV,Drought,11:48,11:31,0.28
ET,SAV,Non-Drought,11:46,11:45,0.02
ET,WET,Drought,11:57,12:03,-0.1
ET,WET,Non-Drought,11:44,12:06,-0.37
ET,WSA,Drought,11:39,11:56,-0.29
ET,WSA,Non-Drought,11:52,11:50,0.03
GPP,BSV,Drought,14:47,11:12,3.59
GPP,BSV,Non-Drought,14:06,10:59,3.11
GPP,CRO,Drought,11:27,11:29,-0.03
GPP,CRO,Non-Drought,11:52,11:32,0.33
GPP,CVM,Drought,11:45,11:38,0.11
GPP,CVM,Non-Drought,11:47,11:35,0.2
GPP,DBF,Drought,11:56,11:15,0.68
GPP,DBF,Non-Drought,12:15,11:22,0.88
GPP,EBF,Drought,12:07,11:25,0.71
GPP,EBF,Non-Drought,12:06,11:20,0.78
GPP,ENF,Drought,11:41,11:22,0.32
GPP,ENF,Non-Drought,12:05,11:23,0.7
GPP,GRA,Drought,11:47,11:29,0.3
GPP,GRA,Non-Drought,12:23,11:27,0.93
GPP,MF,Drought,11:48,11:26,0.37
GPP,MF,Non-Drought,11:45,11:26,0.32
GPP,OSH,Drought,10:51,11:22,-0.51
GPP,OSH,Non-Drought,12:02,11:22,0.67
GPP,SAV,Drought,11:53,10:43,1.16
GPP,SAV,Non-Drought,12:02,11:08,0.89
GPP,WET,Drought,11:25,11:30,-0.08
GPP,WET,Non-Drought,11:48,11:35,0.21
GPP,WSA,Drought,11:38,11:15,0.39
GPP,WSA,Non-Drought,12:06,11:21,0.76
WUE,BSV,Drought,13:49,11:05,2.74
WUE,BSV,Non-Drought,09:53,10:51,-0.97
WUE,CRO,Drought,10:56,10:25,0.53
WUE,CRO,Non-Drought,12:14,10:30,1.74
WUE,CVM,Drought,12:16,10:53,1.4
WUE,CVM,Non-Drought,11:57,10:47,1.17
WUE,DBF,Drought,11:40,10:11,1.48
WUE,DBF,Non-Drought,12:41,10:20,2.36
WUE,EBF,Drought,12:39,11:18,1.35
WUE,EBF,Non-Drought,12:14,11:02,1.2
WUE,ENF,Drought,11:22,10:09,1.23
WUE,ENF,Non-Drought,12:14,10:32,1.7
WUE,GRA,Drought,11:27,10:40,0.78
WUE,GRA,Non-Drought,12:34,10:36,1.97
WUE,MF,Drought,11:53,10:18,1.58
WUE,MF,Non-Drought,11:50,10:35,1.24
WUE,OSH,Drought,11:09,10:59,0.16
WUE,OSH,Non-Drought,12:32,10:55,1.62
WUE,SAV,Drought,12:22,10:27,1.92
WUE,SAV,Non-Drought,12:41,10:21,2.34
WUE,WET,Drought,11:09,10:38,0.52
WUE,WET,Non-Drought,12:16,10:41,1.58
WUE,WSA,Drought,11:46,10:36,1.18
WUE,WSA,Non-Drought,12:30,10:49,1.67
