Variable,kg_label,SPEI Bin,ECOCO,FLUXNET,Difference (hrs)
ET,Aw,Non-Drought,10:06,11:47,-1.68
ET,BSk,Drought,11:50,11:54,-0.06
ET,BSk,Non-Drought,11:46,11:49,-0.06
ET,BWh,Drought,10:57,11:55,-0.96
ET,BWh,Non-Drought,09:27,11:50,-2.37
ET,Cfa,Drought,11:38,11:52,-0.23
ET,Cfa,Non-Drought,11:26,11:50,-0.4
ET,Cfb,Drought,11:41,11:45,-0.06
ET,Cfb,Non-Drought,11:42,11:55,-0.23
ET,Csa,Drought,10:57,12:00,-1.05
ET,Csa,Non-Drought,11:13,12:00,-0.79
ET,Csb,Drought,11:07,11:48,-0.69
ET,Csb,Non-Drought,10:21,11:56,-1.59
ET,Dfb,Drought,12:19,11:44,0.58
ET,Dfb,Non-Drought,11:20,11:45,-0.41
ET,ET,Drought,10:55,11:22,-0.45
ET,ET,Non-Drought,11:04,11:37,-0.55
GPP,Aw,Non-Drought,10:19,11:21,-1.03
GPP,BSk,Drought,11:38,11:33,0.09
GPP,BSk,Non-Drought,11:39,11:27,0.2
GPP,BWh,Drought,12:09,11:10,0.98
GPP,BWh,Non-Drought,08:42,11:28,-2.76
GPP,Cfa,Drought,11:48,11:23,0.42
GPP,Cfa,Non-Drought,11:35,11:23,0.19
GPP,Cfb,Drought,12:30,11:23,1.11
GPP,Cfb,Non-Drought,12:05,11:31,0.56
GPP,Csa,Drought,12:06,11:28,0.64
GPP,Csa,Non-Drought,11:16,11:28,-0.2
GPP,Csb,Drought,12:12,11:43,0.49
GPP,Csb,Non-Drought,11:43,11:39,0.08
GPP,Dfb,Drought,12:48,11:22,1.42
GPP,Dfb,Non-Drought,11:53,11:22,0.51
GPP,ET,Drought,11:54,11:06,0.81
GPP,ET,Non-Drought,11:25,11:15,0.16
WUE,Aw,Non-Drought,09:57,10:51,-0.9
WUE,BSk,Drought,10:34,11:08,-0.57
WUE,BSk,Non-Drought,11:51,10:52,0.98
WUE,BWh,Drought,12:45,11:10,1.59
WUE,BWh,Non-Drought,08:48,11:00,-2.19
WUE,Cfa,Drought,11:09,10:16,0.87
WUE,Cfa,Non-Drought,11:37,10:29,1.12
WUE,Cfb,Drought,13:31,10:18,3.21
WUE,Cfb,Non-Drought,12:29,10:30,1.98
WUE,Csa,Drought,13:15,10:39,2.6
WUE,Csa,Non-Drought,12:19,10:48,1.51
WUE,Csb,Drought,14:01,11:34,2.45
WUE,Csb,Non-Drought,12:25,10:51,1.57
WUE,Dfb,Drought,13:43,10:28,3.25
WUE,Dfb,Non-Drought,12:43,10:29,2.24
WUE,ET,Drought,13:43,10:49,2.89
WUE,ET,Non-Drought,10:33,10:40,-0.12
