Variable,kg_label,SPEI Bin,ECOCO,FLUXNET,Difference (hrs)
ET,BSk,Drought,12:05,12:01,0.06
ET,BSk,Non-Drought,11:49,11:53,-0.07
ET,BWh,Drought,11:48,11:55,-0.12
ET,BWh,Non-Drought,12:14,11:50,0.4
ET,BWk,Drought,11:06,11:52,-0.76
ET,BWk,Non-Drought,11:44,11:40,0.06
ET,Cfa,Drought,10:40,11:52,-1.2
ET,Cfa,Non-Drought,11:38,11:50,-0.19
ET,Cfb,Drought,12:27,11:45,0.7
ET,Cfb,Non-Drought,11:48,11:56,-0.13
ET,Csa,Drought,11:18,12:00,-0.7
ET,Csa,Non-Drought,11:38,12:00,-0.36
ET,Csb,Drought,11:07,11:48,-0.68
ET,Csb,Non-Drought,11:48,11:56,-0.14
ET,Dfa,Drought,11:47,11:58,-0.18
ET,Dfa,Non-Drought,11:42,12:00,-0.3
ET,Dfb,Drought,12:26,11:44,0.69
ET,Dfb,Non-Drought,11:56,11:45,0.2
GPP,BSk,Drought,11:18,11:40,-0.37
GPP,BSk,Non-Drought,11:42,11:31,0.18
GPP,BWh,Drought,12:30,11:10,1.33
GPP,BWh,Non-Drought,12:38,11:28,1.17
GPP,BWk,Drought,10:53,11:19,-0.43
GPP,BWk,Non-Drought,11:39,11:14,0.41
GPP,Cfa,Drought,10:30,11:23,-0.87
GPP,Cfa,Non-Drought,11:03,11:23,-0.34
GPP,Cfb,Drought,12:53,11:23,1.51
GPP,Cfb,Non-Drought,11:55,11:31,0.39
GPP,Csa,Drought,11:05,11:28,-0.38
GPP,Csa,Non-Drought,10:58,11:28,-0.5
GPP,Csb,Drought,11:31,11:43,-0.19
GPP,Csb,Non-Drought,11:55,11:39,0.27
GPP,Dfa,Drought,11:35,11:31,0.07
GPP,Dfa,Non-Drought,11:38,11:37,0.01
GPP,Dfb,Drought,11:54,11:21,0.54
GPP,Dfb,Non-Drought,12:06,11:21,0.76
WUE,BSk,Drought,10:51,11:07,-0.27
WUE,BSk,Non-Drought,11:20,10:48,0.53
WUE,BWh,Drought,12:26,11:10,1.28
WUE,BWh,Non-Drought,12:31,11:00,1.53
WUE,BWk,Drought,11:09,10:35,0.56
WUE,BWk,Non-Drought,11:31,10:46,0.73
WUE,Cfa,Drought,09:20,10:16,-0.95
WUE,Cfa,Non-Drought,09:45,10:29,-0.74
WUE,Cfb,Drought,13:24,10:18,3.1
WUE,Cfb,Non-Drought,12:11,10:29,1.7
WUE,Csa,Drought,10:39,10:39,0.01
WUE,Csa,Non-Drought,09:21,10:51,-1.5
WUE,Csb,Drought,12:03,11:34,0.49
WUE,Csb,Non-Drought,11:25,10:51,0.56
WUE,Dfa,Drought,12:01,10:35,1.44
WUE,Dfa,Non-Drought,11:48,10:40,1.15
WUE,Dfb,Drought,10:52,10:25,0.45
WUE,Dfb,Non-Drought,12:58,10:26,2.54
