Variable,kg_label,SPI Bin,ECOCO,FLUXNET,Difference (hrs)
ET,BSk,Drought,12:24,11:49,0.58
ET,BSk,Non-Drought,11:45,12:01,-0.27
ET,BWk,Drought,11:35,11:39,-0.06
ET,BWk,Non-Drought,11:25,11:42,-0.28
ET,Cfa,Drought,11:25,11:52,-0.44
ET,Cfa,Non-Drought,11:50,11:50,-0.01
ET,Cfb,Drought,12:03,11:47,0.27
ET,Cfb,Non-Drought,11:50,11:54,-0.07
ET,Csa,Drought,11:12,11:45,-0.55
ET,Csa,Non-Drought,11:37,12:04,-0.45
ET,Dfa,Drought,12:15,11:59,0.27
ET,Dfa,Non-Drought,11:45,12:00,-0.26
ET,Dfb,Drought,12:28,11:45,0.72
ET,Dfb,Non-Drought,12:04,11:44,0.33
GPP,BSk,Drought,11:29,11:27,0.03
GPP,BSk,Non-Drought,11:33,11:34,-0.0
GPP,BWk,Drought,11:32,11:06,0.43
GPP,BWk,Non-Drought,11:14,11:15,-0.02
GPP,Cfa,Drought,11:15,11:25,-0.16
GPP,Cfa,Non-Drought,11:23,11:23,-0.0
GPP,Cfb,Drought,12:34,11:25,1.16
GPP,Cfb,Non-Drought,11:54,11:31,0.39
GPP,Csa,Drought,10:59,11:12,-0.22
GPP,Csa,Non-Drought,11:28,11:30,-0.03
GPP,Dfa,Drought,12:16,11:33,0.71
GPP,Dfa,Non-Drought,11:48,11:37,0.18
GPP,Dfb,Drought,12:51,11:21,1.5
GPP,Dfb,Non-Drought,12:10,11:21,0.81
WUE,BSk,Drought,10:41,11:05,-0.4
WUE,BSk,Non-Drought,11:05,10:48,0.3
WUE,BWk,Drought,11:07,10:25,0.7
WUE,BWk,Non-Drought,11:00,10:41,0.31
WUE,Cfa,Drought,10:27,10:25,0.02
WUE,Cfa,Non-Drought,10:27,10:29,-0.03
WUE,Cfb,Drought,13:05,10:22,2.71
WUE,Cfb,Non-Drought,12:09,10:30,1.64
WUE,Csa,Drought,10:02,11:05,-1.05
WUE,Csa,Non-Drought,10:44,10:46,-0.04
WUE,Dfa,Drought,12:25,10:28,1.95
WUE,Dfa,Non-Drought,11:47,10:39,1.14
WUE,Dfb,Drought,12:52,10:24,2.47
WUE,Dfb,Non-Drought,12:49,10:29,2.33
