Variable,veg,SPI Bin,ECOCO,FLUXNET,Difference (hrs)
ET,BSV,Drought,11:13,11:39,-0.43
ET,BSV,Non-Drought,11:26,11:25,0.01
ET,CRO,Drought,12:04,11:56,0.12
ET,CRO,Non-Drought,11:50,12:03,-0.22
ET,CVM,Drought,11:58,11:08,0.85
ET,CVM,Non-Drought,11:53,11:51,0.03
ET,DBF,Drought,11:52,11:45,0.12
ET,DBF,Non-Drought,12:07,11:52,0.26
ET,EBF,Drought,11:50,11:28,0.36
ET,EBF,Non-Drought,11:52,11:30,0.37
ET,ENF,Drought,11:52,11:53,-0.01
ET,ENF,Non-Drought,11:50,11:45,0.09
ET,GRA,Drought,11:56,11:51,0.08
ET,GRA,Non-Drought,11:51,11:50,0.01
ET,MF,Drought,11:48,11:56,-0.14
ET,MF,Non-Drought,11:53,11:55,-0.04
ET,OSH,Drought,11:24,11:41,-0.27
ET,OSH,Non-Drought,11:31,11:43,-0.19
ET,SAV,Drought,11:52,11:27,0.42
ET,SAV,Non-Drought,11:47,11:44,0.06
ET,WET,Drought,11:43,11:54,-0.19
ET,WET,Non-Drought,11:40,12:03,-0.39
ET,WSA,Drought,11:53,11:59,-0.09
ET,WSA,Non-Drought,11:49,11:50,-0.01
GPP,BSV,Drought,08:47,11:13,-2.43
GPP,BSV,Non-Drought,13:46,11:01,2.75
GPP,CRO,Drought,12:05,11:28,0.61
GPP,CRO,Non-Drought,11:51,11:32,0.32
GPP,CVM,Non-Drought,11:51,11:35,0.27
GPP,DBF,Drought,12:06,11:17,0.82
GPP,DBF,Non-Drought,12:16,11:23,0.89
GPP,EBF,Drought,12:14,11:25,0.81
GPP,EBF,Non-Drought,12:02,11:21,0.68
GPP,ENF,Drought,11:44,11:23,0.35
GPP,ENF,Non-Drought,11:59,11:23,0.59
GPP,GRA,Drought,11:54,11:30,0.4
GPP,GRA,Non-Drought,12:26,11:29,0.95
GPP,MF,Drought,11:47,11:30,0.3
GPP,MF,Non-Drought,11:49,11:26,0.39
GPP,OSH,Drought,11:11,11:16,-0.1
GPP,OSH,Non-Drought,11:53,11:22,0.52
GPP,SAV,Drought,12:00,10:57,1.04
GPP,SAV,Non-Drought,12:10,11:09,1.02
GPP,WET,Drought,11:30,11:28,0.03
GPP,WET,Non-Drought,11:53,11:34,0.32
GPP,WSA,Drought,11:48,11:19,0.49
GPP,WSA,Non-Drought,12:10,11:19,0.85
WUE,BSV,Drought,21:28,11:04,10.4
WUE,BSV,Non-Drought,10:41,11:02,-0.34
WUE,CRO,Drought,11:43,10:17,1.44
WUE,CRO,Non-Drought,12:12,10:28,1.72
WUE,CVM,Non-Drought,12:02,10:49,1.22
WUE,DBF,Drought,11:42,10:21,1.35
WUE,DBF,Non-Drought,12:41,10:22,2.32
WUE,EBF,Drought,13:02,11:23,1.65
WUE,EBF,Non-Drought,12:04,11:02,1.04
WUE,ENF,Drought,11:23,10:14,1.16
WUE,ENF,Non-Drought,12:09,10:33,1.61
WUE,GRA,Drought,11:42,10:44,0.98
WUE,GRA,Non-Drought,12:42,10:38,2.06
WUE,MF,Drought,11:49,10:31,1.3
WUE,MF,Non-Drought,11:52,10:34,1.3
WUE,OSH,Drought,11:29,10:36,0.88
WUE,OSH,Non-Drought,12:27,10:55,1.54
WUE,SAV,Drought,12:11,10:55,1.26
WUE,SAV,Non-Drought,12:51,10:28,2.39
WUE,WET,Drought,11:38,10:51,0.77
WUE,WET,Non-Drought,12:16,10:41,1.6
WUE,WSA,Drought,12:02,10:34,1.47
WUE,WSA,Non-Drought,12:40,10:43,1.94
