Variable,Veg,pct_change_DT,sig_DT,pct_change_NT,sig_NT,same_direction,same_significance,group_type
ET,BSV,-47.88,True,-56.14,True,True,True,Veg
ET,CRO,-1.57,False,-2.21,False,True,True,Veg
ET,CVM,-27.65,True,-28.32,True,True,True,Veg
ET,DBF,-12.57,True,-11.73,True,True,True,Veg
ET,EBF,-24.85,True,-24.21,True,True,True,Veg
ET,ENF,-10.02,True,-12.07,True,True,True,Veg
ET,GRA,-21.42,True,-21.26,True,True,True,Veg
ET,MF,14.57,True,13.67,True,True,True,Veg
ET,OSH,-19.72,True,-18.69,True,True,True,Veg
ET,SAV,-48.98,True,-48.12,True,True,True,Veg
ET,WET,5.3,False,6.04,True,True,False,Veg
ET,WSA,-17.69,True,-23.8,True,True,True,Veg
GPP,BSV,35.04,True,263.88,True,True,True,Veg
GPP,CRO,-12.17,True,-14.87,True,True,True,Veg
GPP,CVM,14.93,True,8.0,False,True,False,Veg
GPP,DBF,-12.48,True,-11.79,True,True,True,Veg
GPP,EBF,-24.04,True,-19.93,True,True,True,Veg
GPP,ENF,-22.63,True,-17.33,True,True,True,Veg
GPP,GRA,-32.48,True,-29.94,True,True,True,Veg
GPP,MF,-2.9,False,-8.96,True,True,False,Veg
GPP,OSH,-27.85,True,-27.45,True,True,True,Veg
GPP,SAV,-66.35,True,-64.81,True,True,True,Veg
GPP,WET,-10.42,True,-12.53,True,True,True,Veg
GPP,WSA,-31.91,True,-32.99,True,True,True,Veg
WUE,BSV,104.05,True,496.83,True,True,True,Veg
WUE,CRO,-2.3,False,0.53,False,False,True,Veg
WUE,CVM,31.15,True,-5.65,False,False,False,Veg
WUE,DBF,-17.41,True,-18.4,True,True,True,Veg
WUE,EBF,6.83,False,9.49,True,True,False,Veg
WUE,ENF,-24.04,True,-22.38,True,True,True,Veg
WUE,GRA,-29.02,True,-24.53,True,True,True,Veg
WUE,MF,-21.71,True,-31.74,True,True,True,Veg
WUE,OSH,-1.46,False,4.81,False,False,True,Veg
WUE,SAV,-16.09,False,-15.27,True,True,False,Veg
WUE,WET,-23.79,True,-25.79,True,True,True,Veg
WUE,WSA,-20.44,True,-13.05,True,True,True,Veg
ET,BSk,-38.48,True,-38.56,True,True,True,kg_label
ET,BWh,-64.22,True,-64.0,True,True,True,kg_label
ET,BWk,-1.04,False,-1.04,False,True,True,kg_label
ET,Cfa,,,-4.49,True,False,False,kg_label
ET,Cfb,-12.99,True,-13.83,True,True,True,kg_label
ET,Csa,-18.86,True,-22.94,True,True,True,kg_label
ET,Csb,-14.43,True,-14.79,True,True,True,kg_label
ET,Dfa,-8.88,True,-8.95,True,True,True,kg_label
ET,Dfb,2.63,False,2.7,False,True,True,kg_label
GPP,BSk,-28.63,True,-29.69,True,True,True,kg_label
GPP,BWh,-61.66,True,-60.02,True,True,True,kg_label
GPP,BWk,-2.62,False,-2.42,False,True,True,kg_label
GPP,Cfa,,,-13.13,True,False,False,kg_label
GPP,Cfb,-10.35,True,-14.05,True,True,True,kg_label
GPP,Csa,-20.39,True,-21.86,True,True,True,kg_label
GPP,Csb,-26.34,True,-34.89,True,True,True,kg_label
GPP,Dfa,-13.51,True,-17.25,True,True,True,kg_label
GPP,Dfb,-0.25,False,-1.08,False,True,True,kg_label
WUE,BSk,52.54,True,52.34,True,True,True,kg_label
WUE,BWh,18.7,True,26.05,True,True,True,kg_label
WUE,BWk,-25.16,True,-28.25,True,True,True,kg_label
WUE,Cfa,,,-11.64,True,False,False,kg_label
WUE,Cfb,-14.19,True,-19.23,True,True,True,kg_label
WUE,Csa,0.49,False,0.62,False,True,True,kg_label
WUE,Csb,-25.84,True,-30.2,True,True,True,kg_label
WUE,Dfa,-6.51,True,-7.96,True,True,True,kg_label
WUE,Dfb,-17.13,True,-18.98,True,True,True,kg_label
