=== DT vs NT: WUE midday drought-suppression % change ===
group_type Veg  pct_change_DT  pct_change_NT  same_direction  same_significance
       Veg BSV         104.05         496.83            True               True
       Veg CRO          -2.30           0.53           False               True
       Veg CVM          31.15          -5.65           False              False
       Veg DBF         -17.41         -18.40            True               True
       Veg EBF           6.83           9.49            True              False
       Veg ENF         -24.04         -22.38            True               True
       Veg GRA         -29.02         -24.53            True               True
       Veg  MF         -21.71         -31.74            True               True
       Veg OSH          -1.46           4.81           False               True
       Veg SAV         -16.09         -15.27            True              False
       Veg WET         -23.79         -25.79            True               True
       Veg WSA         -20.44         -13.05            True               True
  kg_label BSk          52.54          52.34            True               True
  kg_label BWh          18.70          26.05            True               True
  kg_label BWk         -25.16         -28.25            True               True
  kg_label Cfb         -14.19         -19.23            True               True
  kg_label Csa           0.49           0.62            True               True
  kg_label Csb         -25.84         -30.20            True               True
  kg_label Dfa          -6.51          -7.96            True               True
  kg_label Dfb         -17.13         -18.98            True               True

Categories where WUE effect direction flips DT->NT: 3/20
Categories where significance (CI excludes 0) flips DT->NT: 3/20

Categories that flip (direction and/or significance):
group_type Veg  pct_change_DT  pct_change_NT  same_direction  same_significance
       Veg CRO          -2.30           0.53           False               True
       Veg CVM          31.15          -5.65           False              False
       Veg EBF           6.83           9.49            True              False
       Veg OSH          -1.46           4.81           False               True
       Veg SAV         -16.09         -15.27            True              False

Full comparison (all variables, not just WUE): tables/dt_vs_nt_comparison.csv
