Resolution,Grouping,Group,Variable,n,R2,RMSE,Bias,Slope
Half-hourly,Site,AU-Ync,GPP,16,0.5564057561060584,4.5307449201953665,3.16667988024125,0.9712848488061954
Half-hourly,Site,AU-Ync,ET,16,0.029793808716863605,108.7226515704738,53.645624999999995,0.12307264547302937
Half-hourly,Site,AU-Ync,WUE,16,0.18986346362094686,3.2353442763262947,2.3119442211445054,1.392855865772988
Half-hourly,Site,CZ-BK1,GPP,17,0.11164394240592113,12.18598062083796,-10.134014334950589,0.15276138192459354
Half-hourly,Site,CZ-BK1,ET,17,0.5281797293848874,66.29025431973722,12.970472235294118,0.5984876830864605
Half-hourly,Site,CZ-BK1,WUE,17,0.15976645390509092,7.413940792165383,2.158180668454791,2.1539187498329273
Half-hourly,Site,DE-RuS,GPP,9,0.5897552772408541,8.207164912768345,-0.27248463687333274,0.35650030519362724
Half-hourly,Site,DE-RuS,ET,9,0.00024993429869305336,124.51760199919649,-85.23453377777777,-0.005940814376513448
Half-hourly,Site,DE-RuS,WUE,9,0.04314630691996831,6.688942855293206,6.069187187810538,0.4009716039260838
Half-hourly,Site,FR-Tou,GPP,8,0.9060170165658312,14.646950023038745,-8.998837595145,-0.33037278064517583
Half-hourly,Site,FR-Tou,ET,8,0.007940711018658399,114.68453931463625,6.571729999999995,0.031843175510402034
Half-hourly,Site,FR-Tou,WUE,8,0.6653302487537577,3.0323509923577534,-1.5297980247228447,-1.1734410935993782
Half-hourly,Site,NZ-Lau,GPP,87,0.04733535240737437,9.011482736787782,-4.635849694234114,0.11310252665921099
Half-hourly,Site,NZ-Lau,ET,87,0.23437690155124774,124.48350994804078,-60.73446916091955,0.2596309760423262
Half-hourly,Site,NZ-Lau,WUE,87,0.0005849501415538568,5.274276241655129,2.7376348229091874,-0.08441522325250285
Half-hourly,Site,US-Me6,GPP,17,0.2290208750832423,3.2769049560768,0.7406266564094117,0.29509149549166697
Half-hourly,Site,US-Me6,ET,17,0.019095259102758742,188.85246256762295,143.7174759411765,0.4733755649103313
Half-hourly,Site,US-Me6,WUE,17,0.01828319374634776,2.7130322431435747,0.423288411081589,0.3874714452326386
Half-hourly,Site,US-SRG,GPP,22,0.45304454306821573,1.8025669685214014,0.6172739325628182,0.6957860416271813
Half-hourly,Site,US-SRG,ET,22,0.5716739181164495,53.43843558741999,39.10750140909092,0.6870284483726087
Half-hourly,Site,US-SRG,WUE,22,0.046485854046400675,1.1437219945696537,0.46586557090964575,0.19957291740386146
Half-hourly,Site,US-SRM,GPP,24,0.042536393725151986,4.987518590483278,4.109466077924167,0.5729279858033144
Half-hourly,Site,US-SRM,ET,24,0.1719227531620538,210.21737286485364,197.36942416666668,1.3184261210255344
Half-hourly,Site,US-SRM,WUE,24,0.157696931099652,1.4631427278915472,0.7832477867472383,-0.5201645514920479
Half-hourly,Site,US-xBR,GPP,8,0.9642996519951192,5.399038524914567,3.0067812090075003,1.4345182033493469
Half-hourly,Site,US-xBR,ET,8,0.686253186627579,93.0067913336011,15.823619374999994,0.4795261840832896
Half-hourly,Site,US-xBR,WUE,8,0.0009581002727702508,2.2261073388220822,1.0473411025886095,0.060231996779114505
Half-hourly,Site,US-xKZ,GPP,7,0.9837769574075463,2.463963232671845,1.454641884397143,0.8026307651250298
Half-hourly,Site,US-xKZ,ET,7,0.4557454653183787,95.19451861531547,6.041059428571434,0.3947640705109988
Half-hourly,Site,US-xKZ,WUE,7,0.5380733515495963,2.250072596852279,1.9610381375041364,1.8034092813688116
Half-hourly,Site,US-xPU,GPP,10,0.018842108068142894,13.487679487971498,-2.9179744303807005,-0.3582407620550797
Half-hourly,Site,US-xPU,ET,10,0.5509327802213645,117.42544508230698,83.9863526,0.8296020527099709
Half-hourly,Site,US-xPU,WUE,10,0.011570271150858052,3.4394485551335356,-0.8605151272070278,-0.17335133797645919
Half-hourly,Site,US-xSR,GPP,14,0.4906467853985191,2.548025172474357,2.152960468132857,1.1085660990750719
Half-hourly,Site,US-xSR,ET,14,0.3806150805270666,45.6089499727405,31.5008225,0.46358214051219315
Half-hourly,Site,US-xSR,WUE,14,0.30874562619897017,1.528411216565527,1.4265373683503435,0.5909634843199737
Half-hourly,kg_label,BSh,GPP,30,0.048813852631688595,4.616239277067953,3.625175550013933,0.6286206682353782
Half-hourly,kg_label,BSh,ET,30,0.0027439010681302605,188.84446191152767,164.26526663333334,0.11653590871215137
Half-hourly,kg_label,BSh,WUE,30,0.010463645044736148,1.623873811986615,0.8612952646793629,-0.2005373093874346
Half-hourly,kg_label,BSk,GPP,39,0.643475125093405,3.2684426175714165,1.542572453407231,1.0061906427356186
Half-hourly,kg_label,BSk,ET,39,0.4240263541827125,84.09526173769378,40.10891284615385,0.5048708013585643
Half-hourly,kg_label,BSk,WUE,39,0.094781276559211,2.249858936023306,1.2388461578578196,0.7332073992431828
Half-hourly,kg_label,BWh,GPP,14,0.4906467853985191,2.548025172474357,2.152960468132857,1.1085660990750719
Half-hourly,kg_label,BWh,ET,14,0.3806150805270666,45.6089499727405,31.5008225,0.46358214051219315
Half-hourly,kg_label,BWh,WUE,14,0.30874562619897017,1.528411216565527,1.4265373683503435,0.5909634843199737
Half-hourly,kg_label,Cfa,GPP,9,0.007427112747929157,14.525006369665643,-9.500065651306667,-0.041289623812458966
Half-hourly,kg_label,Cfa,ET,9,0.20289048053237416,109.30696272743698,11.183845555555552,0.29738152435033854
Half-hourly,kg_label,Cfa,WUE,9,0.4959055602997547,2.8607639377877057,-1.393979217607321,-1.0641133578562245
Half-hourly,kg_label,Cfb,GPP,122,0.13424446182660246,9.321418233296411,-3.840548580570779,0.2843985069622415
Half-hourly,kg_label,Cfb,ET,122,0.17224052359157896,121.46978245899082,-44.64698387704917,0.28899394132207307
Half-hourly,kg_label,Cfb,WUE,122,0.00035517321546903646,5.145133532085362,2.731478462630504,-0.05443560333093981
Half-hourly,kg_label,Csa,GPP,22,0.09294587478200451,9.187618794512531,0.6978210603863636,0.18855580030558897
Half-hourly,kg_label,Csa,ET,22,0.10444203788217862,117.64266902180684,43.91901863636364,0.25908375697382924
Half-hourly,kg_label,Csa,WUE,22,0.0023198498214922654,10.864729585490238,3.4861169389502065,0.1699042080912718
Half-hourly,kg_label,Dfa,GPP,22,0.7726259647075084,5.007955605313317,1.8441823376954538,0.754297727066827
Half-hourly,kg_label,Dfa,ET,22,0.48047094003790813,100.4145205045569,-34.45282318181817,0.46012201367502203
Half-hourly,kg_label,Dfa,WUE,22,0.20329759827199648,6.137114098292497,3.9732555623355434,0.9053120561162927
Half-hourly,kg_label,Dfb,GPP,41,0.2441928141861091,8.553824543592107,-3.8310768204692685,0.4396691417718226
Half-hourly,kg_label,Dfb,ET,41,0.48604742261676315,73.80751107984429,1.5633196585365847,0.5645938278452495
Half-hourly,kg_label,Dfb,WUE,41,0.10750710070159622,5.217357427169586,1.7736983734035812,1.1006688851093824
Half-hourly,kg_label,Dfc,GPP,10,0.25431667738558134,5.608396709482304,-2.358931758024,0.37005147787770026
Half-hourly,kg_label,Dfc,ET,10,0.1942351600031515,165.70031422404148,-13.981892600000009,0.24413832675467106
Half-hourly,kg_label,Dfc,WUE,10,0.6340616490108403,7.957232147343603,3.995448255812957,4.538081500756909
Half-hourly,kg_label,Dsb,GPP,17,0.2290208750832423,3.2769049560768,0.7406266564094117,0.29509149549166697
Half-hourly,kg_label,Dsb,ET,17,0.019095259102758742,188.85246256762295,143.7174759411765,0.4733755649103313
Half-hourly,kg_label,Dsb,WUE,17,0.01828319374634776,2.7130322431435747,0.423288411081589,0.3874714452326386
Half-hourly,Veg,CRO,GPP,28,0.4113562739756853,9.545506903558628,2.5114305603157137,0.30443008513494035
Half-hourly,Veg,CRO,ET,28,0.06672900282767193,114.43187356639687,-56.75559117857143,0.13720634513382912
Half-hourly,Veg,CRO,WUE,28,0.026001376876609257,11.447559008735494,7.702486270318496,0.5415411357740249
Half-hourly,Veg,DBF,GPP,25,0.8262437525118402,4.0949338663860955,0.5378697245751999,1.0655122572873925
