Grouping,Group,Variable,offset_mean,offset_ci_low,offset_ci_high,pct_amp_diff_mean,pct_amp_diff_ci_low,pct_amp_diff_ci_high
Veg,BSV,GPP,-96.532,-205.1,63.55000000000001,-33.43670982208295,-71.48416056831093,11.979045200045583
Veg,BSV,ET,42.416,6.2250000000000005,109.775,12.601540699770794,-45.062994430943235,99.69340944146565
Veg,BSV,WUE,67.48,-156.0,365.0,79.51210825684791,-45.665681956886864,237.1860905746253
Veg,CRO,GPP,-47.748,-71.0,-20.224999999999994,-30.13741264947118,-41.974315607491036,-17.41993350968386
Veg,CRO,ET,-12.12,-24.0,-1.0,-44.98615254240486,-50.87433688409627,-39.48913613293775
Veg,CRO,WUE,-81.928,-118.325,-65.225,14.673273239190413,-26.789387281397225,78.1814549482053
Veg,CVM,GPP,-46.072,-62.775,100.775,23.35295676600348,-25.712348037952893,157.68296432604893
Veg,CVM,ET,-14.524,-32.775,106.775,1.0671523204144129,-30.960970043415287,84.67808933669929
Veg,CVM,WUE,-53.136,-87.0,80.55000000000001,38.146674855784724,-45.78728195702855,288.44235618407254
Veg,DBF,GPP,-19.388,-23.0,-15.0,7.4225922691680735,-0.7069274072033152,16.50656151704735
Veg,DBF,ET,-12.148,-26.0,-3.0,-22.9095734823914,-31.99675251404536,-10.718068336860908
Veg,DBF,WUE,-6.288,-14.0,5.0,4.461112395116919,-20.97287517786763,37.22990334656837
Veg,EBF,GPP,5.412,-35.775,33.32500000000002,59.25863415187935,6.316986460152035,126.25717739190098
Veg,EBF,ET,0.588,-23.549999999999997,27.55000000000001,47.11546533350395,1.0232971644461186,119.62762148333097
Veg,EBF,WUE,-269.468,-365.0,126.32500000000002,17.82377934085201,-59.01743307411749,174.09615193741877
Veg,ENF,GPP,-10.776,-20.0,-3.0,-32.441258642533384,-42.55973165202994,-20.715806685487056
Veg,ENF,ET,2.468,-4.7749999999999995,11.0,20.10078642563135,6.712524063051452,37.63215233060654
Veg,ENF,WUE,-280.152,-308.775,-191.34999999999997,18.472670720158895,-58.2404566785556,136.41117883629124
Veg,GRA,GPP,-24.428,-38.775,-9.224999999999994,-24.26713379778822,-36.68691395363316,-3.441953890524921
Veg,GRA,ET,-8.896,-15.0,-3.2249999999999943,-40.38139764422156,-46.67501893465523,-33.03402131367757
Veg,GRA,WUE,-22.98,-277.775,140.0,78.26852603021634,-13.360360071356537,234.36838166130892
Veg,MF,GPP,-12.736,-23.775,1.0,-18.456202533769723,-36.40332369954057,15.605485860402823
Veg,MF,ET,-3.008,-14.0,5.775000000000006,-12.397296126682047,-33.09916765768949,12.717785527284624
Veg,MF,WUE,78.108,-133.0,155.775,-64.46734503427908,-91.34834973257611,-2.6658257070199936
Veg,OSH,GPP,-64.528,-97.0,-12.449999999999989,-64.37142098066073,-80.56892137600335,-39.56987087508512
Veg,OSH,ET,-6.58,-61.775,24.55000000000001,-60.38281742182121,-74.81040732089902,-40.24755450364518
Veg,OSH,WUE,62.516,-197.55,252.0,-0.1835852481115163,-47.14211064665048,73.57590953675387
Veg,SAV,GPP,65.372,55.0,77.0,48.358279555078646,5.998822686050572,131.63935689505544
Veg,SAV,ET,53.68,-2.549999999999999,75.55000000000001,-5.228409669851735,-27.481882214423067,33.16016918675697
Veg,SAV,WUE,-221.12,-365.0,137.0,-78.77340734756032,-87.53207443005728,-67.56094201984216
Veg,WET,GPP,-22.592,-37.775,9.325000000000017,-38.77283627925688,-60.39210062599432,-8.488436530296527
Veg,WET,ET,-2.5,-13.0,8.0,-47.22168630456968,-59.79582959805525,-27.707854356662683
Veg,WET,WUE,-153.372,-253.775,48.42500000000004,-44.889667823651486,-77.85522082560897,9.7595470100043
Veg,WSA,GPP,-58.712,-94.55,19.0,81.46728366866596,13.138085577195874,185.79037143749338
Veg,WSA,ET,-25.808,-46.775,44.0,25.04197066009386,-16.04470871335996,97.11880788085519
Veg,WSA,WUE,-37.82,-309.325,137.0,128.93539916968618,-3.1931712461507287,320.84270845148205
kg_label,Aw,GPP,-39.816,-101.0,49.0,-38.470934766018225,-64.21896382046417,5.20778215345246
kg_label,Aw,ET,-59.888,-124.775,71.55000000000001,-35.96108847253736,-64.47764347741708,23.06091626165584
kg_label,Aw,WUE,-148.296,-365.0,207.0,55.023561428842996,-41.59726708864949,236.56887833065446
kg_label,BSh,GPP,-48.6,-118.0,62.32500000000002,-51.149158154609374,-76.09203753700977,-9.176465190056241
kg_label,BSh,ET,-19.452,-61.324999999999996,28.55000000000001,-15.618392707518472,-38.73603076499089,23.480410220576015
kg_label,BSh,WUE,236.808,-1.0,365.0,157.7677724132956,0.398998724594076,419.9737587910879
kg_label,BSk,GPP,-25.252,-42.775,12.775000000000006,17.910203900261855,-25.223140291663025,87.75254595673488
kg_label,BSk,ET,1.148,-19.0,22.0,14.414732278935466,-17.92771024058637,63.12021795796416
kg_label,BSk,WUE,-78.18,-274.0,135.10000000000002,159.88218822924816,0.851757480839006,450.53739224288705
kg_label,BWh,GPP,-44.308,-140.975,153.52500000000006,-41.11304912013198,-79.20220440643958,23.9649081627045
