Variable,veg,% Change,% Change,CI 2.5%,CI 2.5%,CI 97.5%,CI 97.5%,Midday Δ,Midday Δ,N drought days,N drought days,N non-drought days,N non-drought days
,,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET
ET,CRO,-25.57,3.15,-122.21,-4.34,-32.84,22.6,-77.91,8.85,30.0,534.0,64.0,613.0
ET,CVM,-10.23,-89.59,-100.07,-250.77,36.9,-223.54,-33.24,-237.87,15.0,31.0,41.0,474.0
ET,DBF,4.19,-10.9,-76.96,-48.06,117.28,-23.35,14.9,-35.64,9.0,488.0,28.0,644.0
ET,EBF,-23.07,-20.53,-213.79,-58.98,30.46,-36.82,-89.45,-48.57,6.0,512.0,15.0,1073.0
ET,ENF,-9.0,-8.42,-83.12,-35.54,26.24,-13.31,-31.62,-24.47,17.0,552.0,47.0,736.0
ET,GRA,-17.61,-23.15,-95.0,-67.88,9.16,-52.01,-44.96,-60.27,27.0,903.0,58.0,1247.0
ET,MF,-4.28,10.66,-75.69,12.09,46.95,50.78,-15.66,30.94,18.0,331.0,46.0,548.0
ET,OSH,-28.6,-14.18,-118.88,-46.57,20.22,-5.38,-52.72,-26.35,15.0,276.0,20.0,612.0
ET,SAV,-37.16,-48.98,-187.16,-88.36,-51.42,-67.5,-119.91,-77.47,13.0,489.0,38.0,394.0
ET,WSA,-15.07,-20.49,-108.3,-75.64,15.26,-33.74,-49.76,-55.57,24.0,302.0,55.0,547.0
GPP,CRO,-22.22,-0.74,-6.77,-1.31,-1.33,1.16,-4.02,-0.13,30.0,534.0,64.0,613.0
GPP,CVM,-20.01,-100.0,-7.7,-10.09,-0.93,-9.08,-4.41,-9.61,15.0,31.0,41.0,474.0
GPP,DBF,6.78,-13.23,-4.89,-3.47,7.98,-2.29,1.72,-2.89,9.0,488.0,28.0,644.0
GPP,EBF,10.48,-19.31,-3.04,-3.68,6.64,-2.31,1.41,-2.98,6.0,512.0,15.0,1073.0
GPP,ENF,0.68,-21.31,-2.4,-4.29,2.41,-3.04,0.08,-3.64,17.0,552.0,47.0,736.0
GPP,GRA,-21.62,-35.04,-5.07,-5.28,0.76,-4.21,-2.24,-4.75,27.0,903.0,58.0,1247.0
GPP,MF,4.94,-3.45,-2.37,-1.73,4.5,0.38,0.85,-0.71,18.0,331.0,46.0,548.0
GPP,OSH,23.18,-24.98,-1.24,-2.55,2.44,-0.87,0.68,-1.73,15.0,276.0,20.0,612.0
GPP,SAV,-28.3,-66.35,-6.77,-4.04,0.25,-3.24,-3.44,-3.66,13.0,489.0,38.0,394.0
GPP,WSA,-5.41,-32.05,-4.07,-5.88,3.03,-3.53,-0.72,-4.7,24.0,302.0,55.0,547.0
WUE,CRO,39.89,-10.12,-0.16,-0.34,3.54,-0.06,1.61,-0.21,30.0,534.0,64.0,613.0
WUE,CVM,-19.71,-100.0,-2.46,-1.23,0.65,-1.1,-1.04,-1.16,15.0,31.0,41.0,474.0
WUE,DBF,-15.58,-21.0,-3.63,-0.85,1.67,-0.44,-0.95,-0.64,9.0,488.0,28.0,644.0
WUE,EBF,63.45,9.47,0.14,0.07,2.63,0.37,1.32,0.23,6.0,512.0,15.0,1073.0
WUE,ENF,-20.79,-20.48,-1.27,-0.61,0.07,-0.36,-0.56,-0.48,17.0,552.0,47.0,736.0
WUE,GRA,-12.06,-34.42,-1.99,-0.87,0.95,-0.61,-0.39,-0.73,27.0,903.0,58.0,1247.0
WUE,MF,2.05,-19.08,-1.07,-0.79,1.29,-0.37,0.08,-0.58,18.0,331.0,46.0,548.0
WUE,OSH,42.95,4.21,-0.85,-0.11,2.48,0.21,0.83,0.05,15.0,276.0,20.0,612.0
WUE,SAV,94.41,-16.09,-0.23,-0.51,6.13,0.02,2.17,-0.26,13.0,489.0,38.0,394.0
WUE,WSA,14.53,-22.26,-0.62,-0.61,1.57,-0.31,0.4,-0.46,24.0,302.0,55.0,547.0
