Variable,Veg,% Change,% Change,CI 2.5%,CI 2.5%,CI 97.5%,CI 97.5%,Midday Δ,Midday Δ,N drought days,N drought days,N non-drought days,N non-drought days
,,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET
ET,BSV,-8.86,-56.14,-41.36,-90.28,15.44,-43.04,-12.86,-66.57,26.0,31.0,54.0,75.0
ET,CRO,-11.81,-2.21,-48.68,-19.19,-3.68,6.79,-27.33,-6.31,56.0,657.0,128.0,846.0
ET,CVM,-5.08,-28.32,-42.87,-103.88,15.61,-55.48,-14.25,-78.97,26.0,124.0,82.0,676.0
ET,DBF,-6.82,-11.73,-59.2,-50.67,14.57,-29.61,-23.21,-40.02,16.0,520.0,56.0,644.0
ET,EBF,5.48,-24.21,-28.14,-66.97,65.04,-44.86,18.59,-56.32,16.0,451.0,42.0,1044.0
ET,ENF,-1.33,-12.07,-37.53,-45.14,28.32,-22.69,-4.19,-34.48,33.0,551.0,96.0,736.0
ET,GRA,-23.6,-21.26,-72.09,-63.83,-28.29,-47.63,-51.34,-55.82,69.0,939.0,142.0,1407.0
ET,MF,0.92,13.67,-32.78,20.92,32.7,59.43,2.83,39.8,32.0,362.0,98.0,548.0
ET,OSH,-17.25,-18.69,-56.88,-60.24,6.04,-23.81,-24.54,-42.22,40.0,291.0,40.0,872.0
ET,SAV,-12.75,-48.12,-61.41,-84.93,-7.79,-64.76,-34.97,-74.74,37.0,491.0,86.0,394.0
ET,WET,1.15,6.04,-34.71,0.19,44.79,36.05,3.37,19.05,12.0,382.0,35.0,821.0
ET,WSA,-7.56,-23.8,-45.2,-64.94,-0.62,-32.32,-23.02,-48.58,47.0,424.0,123.0,937.0
GPP,BSV,35.69,263.88,-1.46,0.84,1.76,1.48,0.2,1.17,26.0,31.0,54.0,75.0
GPP,CRO,-28.9,-14.87,-6.63,-4.29,-2.86,-1.96,-4.76,-3.09,56.0,657.0,128.0,846.0
GPP,CVM,-19.04,8.0,-6.36,-1.22,-1.14,3.34,-3.8,1.17,26.0,124.0,82.0,676.0
GPP,DBF,-11.07,-11.79,-6.19,-3.33,0.72,-2.08,-2.7,-2.69,16.0,520.0,56.0,644.0
GPP,EBF,10.6,-19.93,-1.76,-3.78,5.25,-2.41,1.46,-3.07,16.0,451.0,42.0,1044.0
GPP,ENF,-8.72,-17.33,-2.4,-3.79,0.62,-2.41,-0.98,-3.09,33.0,551.0,96.0,736.0
GPP,GRA,-34.82,-29.94,-5.25,-5.04,-1.74,-3.97,-3.54,-4.5,69.0,939.0,142.0,1407.0
GPP,MF,0.84,-8.96,-2.29,-2.74,2.52,-1.15,0.14,-1.96,32.0,362.0,98.0,548.0
GPP,OSH,8.44,-27.45,-1.22,-3.14,1.79,-1.66,0.22,-2.41,40.0,291.0,40.0,872.0
GPP,SAV,-16.55,-64.81,-5.07,-4.32,0.72,-3.52,-2.25,-3.92,37.0,491.0,86.0,394.0
GPP,WET,-33.0,-12.53,-8.49,-2.81,0.42,-1.07,-4.21,-1.92,12.0,382.0,35.0,821.0
GPP,WSA,-17.56,-32.99,-4.62,-4.39,0.24,-2.53,-2.33,-3.47,47.0,424.0,123.0,937.0
WUE,BSV,929.14,496.83,-0.59,0.73,2.33,1.23,0.94,1.0,26.0,31.0,54.0,75.0
WUE,CRO,-18.85,0.53,-1.54,-0.19,-0.25,0.2,-0.88,0.01,56.0,657.0,128.0,846.0
WUE,CVM,-34.09,-5.65,-3.55,-0.47,-0.58,0.34,-1.87,-0.08,26.0,124.0,82.0,676.0
WUE,DBF,2.37,-18.4,-0.87,-0.7,1.28,-0.41,0.1,-0.55,16.0,520.0,56.0,644.0
WUE,EBF,1.69,9.49,-1.18,0.07,1.35,0.4,0.05,0.23,16.0,451.0,42.0,1044.0
WUE,ENF,-13.61,-22.38,-1.12,-0.69,0.42,-0.43,-0.38,-0.56,33.0,551.0,96.0,736.0
WUE,GRA,-9.25,-24.53,-0.89,-0.67,0.39,-0.42,-0.27,-0.53,69.0,939.0,142.0,1407.0
WUE,MF,-5.78,-31.74,-1.04,-1.38,0.61,-0.86,-0.22,-1.13,32.0,362.0,98.0,548.0
WUE,OSH,4.22,4.81,-0.82,-0.09,0.86,0.22,0.06,0.06,40.0,291.0,40.0,872.0
WUE,SAV,-14.11,-15.27,-1.88,-0.56,0.77,-0.01,-0.5,-0.28,37.0,491.0,86.0,394.0
WUE,WET,-42.8,-25.79,-2.42,-0.67,-0.25,-0.33,-1.27,-0.5,12.0,382.0,35.0,821.0
WUE,WSA,-13.0,-13.05,-1.1,-0.44,0.37,-0.07,-0.38,-0.26,47.0,424.0,123.0,937.0
