Variable,veg,% Change,% Change,CI 2.5%,CI 2.5%,CI 97.5%,CI 97.5%,Midday Δ,Midday Δ,N drought days,N drought days,N non-drought days,N non-drought days
,,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET
ET,BSV,-4.87,-47.88,-33.31,-65.45,19.11,-35.39,-6.99,-51.23,28.0,62.0,70.0,163.0
ET,CRO,-14.52,-1.57,-56.07,-17.73,-14.2,9.95,-34.5,-4.49,61.0,657.0,141.0,887.0
ET,CVM,-5.98,-27.65,-45.79,-101.39,12.49,-52.76,-17.18,-76.38,29.0,124.0,90.0,676.0
ET,DBF,-6.83,-12.57,-59.74,-53.9,13.88,-31.84,-23.27,-43.05,16.0,520.0,56.0,644.0
ET,EBF,4.32,-22.85,-26.83,-65.66,53.99,-45.65,15.01,-55.67,18.0,512.0,54.0,1212.0
ET,ENF,-0.09,-10.02,-36.19,-39.68,31.61,-16.64,-0.29,-28.48,35.0,552.0,104.0,736.0
ET,GRA,-24.65,-21.69,-75.43,-64.91,-34.33,-49.32,-54.4,-57.22,75.0,969.0,163.0,1405.0
ET,MF,0.85,14.57,-30.71,21.93,35.33,60.35,2.62,42.51,32.0,362.0,104.0,550.0
ET,OSH,-16.24,-19.72,-51.64,-60.89,4.36,-25.59,-23.66,-43.2,44.0,321.0,51.0,872.0
ET,SAV,-14.07,-48.98,-63.74,-87.64,-14.54,-67.36,-39.07,-77.47,41.0,489.0,99.0,394.0
ET,WET,-0.9,8.14,-40.92,8.43,37.46,44.68,-2.74,25.78,13.0,413.0,40.0,820.0
ET,WSA,-7.71,-17.69,-46.18,-51.23,-2.72,-19.89,-23.83,-35.69,51.0,455.0,137.0,983.0
GPP,BSV,15.57,35.04,-1.43,0.36,1.69,1.05,0.1,0.71,28.0,62.0,70.0,163.0
GPP,CRO,-30.34,-12.17,-7.23,-3.39,-3.3,-1.37,-5.28,-2.35,61.0,657.0,141.0,887.0
GPP,CVM,-20.45,14.93,-6.93,0.01,-1.44,4.6,-4.29,2.41,29.0,124.0,90.0,676.0
GPP,DBF,-11.04,-12.48,-7.09,-3.27,1.01,-2.13,-2.85,-2.67,16.0,520.0,56.0,644.0
GPP,EBF,7.66,-20.43,-2.12,-3.81,5.01,-2.53,1.15,-3.19,18.0,512.0,54.0,1212.0
GPP,ENF,-9.56,-22.63,-2.62,-4.4,0.47,-3.17,-1.13,-3.79,35.0,552.0,104.0,736.0
GPP,GRA,-37.51,-33.15,-5.72,-5.17,-2.1,-4.19,-3.96,-4.68,75.0,969.0,163.0,1405.0
GPP,MF,1.14,-2.9,-2.32,-1.58,2.81,0.51,0.19,-0.6,32.0,362.0,104.0,550.0
GPP,OSH,19.43,-27.85,-0.87,-3.03,2.06,-1.64,0.46,-2.34,44.0,321.0,51.0,872.0
GPP,SAV,-20.16,-66.35,-5.55,-4.06,0.01,-3.27,-2.92,-3.66,41.0,489.0,99.0,394.0
GPP,WET,-31.39,-14.31,-8.1,-2.88,0.65,-1.27,-3.91,-2.08,13.0,413.0,40.0,820.0
GPP,WSA,-20.36,-31.91,-4.99,-4.23,-0.55,-2.5,-2.86,-3.38,51.0,455.0,137.0,983.0
WUE,BSV,-707.55,104.05,-0.15,0.74,2.62,1.53,1.27,1.14,28.0,62.0,70.0,163.0
WUE,CRO,-19.24,-2.3,-1.6,-0.21,-0.37,0.09,-0.93,-0.05,61.0,657.0,141.0,887.0
WUE,CVM,-32.85,31.15,-3.71,0.3,-0.61,0.88,-1.85,0.56,29.0,124.0,90.0,676.0
WUE,DBF,2.36,-17.41,-0.94,-0.66,1.31,-0.32,0.11,-0.49,16.0,520.0,56.0,644.0
WUE,EBF,1.86,7.72,-1.06,0.04,1.3,0.33,0.05,0.19,18.0,512.0,54.0,1212.0
WUE,ENF,-14.41,-24.04,-1.14,-0.67,0.35,-0.45,-0.42,-0.57,35.0,552.0,104.0,736.0
WUE,GRA,-14.96,-29.19,-1.08,-0.7,0.2,-0.48,-0.45,-0.59,75.0,969.0,163.0,1405.0
WUE,MF,-4.48,-21.71,-1.05,-0.86,0.75,-0.46,-0.18,-0.65,32.0,362.0,104.0,550.0
WUE,OSH,31.3,-1.46,-0.48,-0.16,1.1,0.13,0.35,-0.02,44.0,321.0,51.0,872.0
WUE,SAV,-16.87,-16.09,-1.95,-0.52,0.58,-0.01,-0.63,-0.26,41.0,489.0,99.0,394.0
WUE,WET,-38.74,-27.4,-2.23,-0.65,-0.05,-0.35,-1.08,-0.49,13.0,413.0,40.0,820.0
WUE,WSA,-16.19,-20.44,-1.14,-0.57,0.23,-0.24,-0.49,-0.41,51.0,455.0,137.0,983.0
