Variable,kg_label,% Change,% Change,CI 2.5%,CI 2.5%,CI 97.5%,CI 97.5%,Midday Δ,Midday Δ,N drought days,N drought days,N non-drought days,N non-drought days
,,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET
ET,BSk,-33.53,-38.56,-128.14,-83.54,-42.77,-61.63,-86.27,-72.64,15.0,495.0,49.0,866.0
ET,BWh,17.67,-64.0,-27.87,-91.5,62.75,-76.04,19.45,-83.75,17.0,326.0,8.0,604.0
ET,BWk,-1.0,-1.04,-54.52,-32.67,48.87,24.77,-1.65,-2.94,14.0,349.0,10.0,730.0
ET,Cfa,,-4.49,,-27.52,,-1.19,,-14.14,,468.0,,1004.0
ET,Cfb,-25.2,-13.83,-104.98,-47.69,-21.33,-29.73,-64.41,-38.25,10.0,632.0,58.0,1153.0
ET,Csa,1.73,-22.94,-50.89,-70.42,63.8,-41.76,4.51,-56.23,9.0,735.0,17.0,698.0
ET,Csb,11.91,-14.79,-20.13,-55.17,68.72,-20.73,25.15,-38.34,11.0,182.0,22.0,333.0
ET,Dfa,5.7,-8.95,-18.17,-43.94,56.91,-14.47,16.81,-29.21,8.0,244.0,14.0,676.0
ET,Dfb,-3.37,2.7,-49.47,-3.33,32.65,18.35,-9.81,7.27,7.0,459.0,21.0,705.0
GPP,BSk,-37.29,-29.69,-5.96,-2.81,-1.32,-1.44,-3.72,-2.14,15.0,495.0,49.0,866.0
GPP,BWh,27.76,-60.02,-2.41,-3.19,3.55,-2.43,0.62,-2.82,17.0,326.0,8.0,604.0
GPP,BWk,27.63,-2.42,-0.88,-1.88,2.9,1.28,0.99,-0.33,14.0,349.0,10.0,730.0
GPP,Cfa,,-13.13,,-3.04,,-1.64,,-2.35,,468.0,,1004.0
GPP,Cfb,-34.53,-14.05,-8.11,-3.31,-2.32,-1.92,-5.28,-2.57,10.0,632.0,58.0,1153.0
GPP,Csa,6.96,-21.86,-4.85,-3.37,6.91,-1.99,0.83,-2.69,9.0,735.0,17.0,698.0
GPP,Csb,-3.27,-34.89,-3.97,-5.37,3.41,-3.95,-0.38,-4.67,11.0,182.0,22.0,333.0
GPP,Dfa,-17.81,-17.25,-10.68,-5.74,3.8,-3.08,-4.01,-4.42,8.0,244.0,14.0,676.0
GPP,Dfb,4.33,-1.08,-3.8,-0.89,4.65,0.43,0.68,-0.21,7.0,459.0,21.0,705.0
WUE,BSk,0.82,52.34,-1.2,0.48,1.05,0.89,0.02,0.68,15.0,495.0,49.0,866.0
WUE,BWh,28.83,26.05,-2.58,0.1,3.4,0.69,0.4,0.39,17.0,326.0,8.0,604.0
WUE,BWk,95.82,-28.25,-0.09,-0.9,1.97,-0.4,0.9,-0.65,14.0,349.0,10.0,730.0
WUE,Cfa,,-11.64,,-0.31,,-0.15,,-0.23,,468.0,,1004.0
WUE,Cfb,-1.56,-19.23,-2.13,-0.69,2.0,-0.36,-0.07,-0.53,10.0,632.0,58.0,1153.0
WUE,Csa,-7.04,0.62,-1.29,-0.1,0.8,0.14,-0.2,0.01,9.0,735.0,17.0,698.0
WUE,Csb,-40.3,-30.2,-3.88,-0.94,-0.06,-0.42,-1.86,-0.65,11.0,182.0,22.0,333.0
WUE,Dfa,-15.1,-7.96,-2.01,-0.34,0.82,-0.08,-0.64,-0.2,8.0,244.0,14.0,676.0
WUE,Dfb,5.93,-18.98,-0.52,-0.75,1.03,-0.43,0.19,-0.59,7.0,459.0,21.0,705.0
