Variable,kg_label,% Change,% Change,CI 2.5%,CI 2.5%,CI 97.5%,CI 97.5%,Midday Δ,Midday Δ,N drought days,N drought days,N non-drought days,N non-drought days
,,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET
ET,BSk,-33.53,-38.48,-123.68,-82.2,-44.32,-59.9,-86.27,-71.46,15.0,527.0,49.0,866.0
ET,BWh,17.67,-64.22,-28.81,-91.82,60.31,-76.91,19.45,-84.57,17.0,325.0,8.0,604.0
ET,BWk,-1.0,-1.04,-53.9,-33.37,48.79,29.12,-1.65,-2.97,14.0,349.0,10.0,730.0
ET,Cfb,-25.2,-12.99,-109.06,-44.7,-20.46,-26.63,-64.41,-35.72,10.0,663.0,58.0,1152.0
ET,Csa,1.73,-18.86,-53.96,-56.97,57.6,-29.04,4.51,-43.26,9.0,735.0,17.0,718.0
ET,Csb,11.91,-14.43,-21.35,-54.97,69.97,-19.26,25.15,-37.39,11.0,181.0,22.0,333.0
ET,Dfa,5.7,-8.88,-16.77,-42.71,54.87,-14.63,16.81,-29.02,8.0,244.0,14.0,676.0
ET,Dfb,-3.37,2.63,-52.19,-3.76,35.7,17.19,-9.81,7.07,7.0,459.0,21.0,705.0
GPP,BSk,-37.29,-28.63,-6.42,-2.5,-1.48,-1.24,-3.95,-1.91,15.0,527.0,49.0,866.0
GPP,BWh,27.76,-61.66,-2.24,-3.26,3.53,-2.52,0.66,-2.88,17.0,325.0,8.0,604.0
GPP,BWk,27.63,-2.62,-1.04,-1.85,3.13,1.22,1.05,-0.36,14.0,349.0,10.0,730.0
GPP,Cfb,-34.53,-10.35,-8.91,-2.42,-2.78,-1.1,-5.59,-1.72,10.0,663.0,58.0,1152.0
GPP,Csa,6.96,-20.39,-4.79,-2.87,7.33,-1.56,0.88,-2.22,9.0,735.0,17.0,718.0
GPP,Csb,-3.27,-26.34,-4.14,-3.79,3.38,-2.33,-0.41,-3.02,11.0,181.0,22.0,333.0
GPP,Dfa,-17.81,-13.51,-11.57,-4.59,3.89,-2.03,-4.25,-3.35,8.0,244.0,14.0,676.0
GPP,Dfb,4.33,-0.25,-3.74,-0.67,5.15,0.58,0.72,-0.05,7.0,459.0,21.0,705.0
WUE,BSk,0.82,52.54,-1.26,0.48,1.16,0.83,0.02,0.65,15.0,527.0,49.0,866.0
WUE,BWh,28.83,18.7,-2.77,0.01,3.78,0.54,0.42,0.27,17.0,325.0,8.0,604.0
WUE,BWk,95.82,-25.16,-0.12,-0.77,2.18,-0.33,0.95,-0.55,14.0,349.0,10.0,730.0
WUE,Cfb,-1.56,-14.19,-2.4,-0.51,2.31,-0.21,-0.08,-0.36,10.0,663.0,58.0,1152.0
WUE,Csa,-7.04,0.49,-1.46,-0.12,0.86,0.13,-0.22,0.01,9.0,735.0,17.0,718.0
WUE,Csb,-40.3,-25.84,-4.32,-0.74,-0.06,-0.27,-1.98,-0.49,11.0,181.0,22.0,333.0
WUE,Dfa,-15.1,-6.51,-2.18,-0.31,0.78,-0.04,-0.68,-0.17,8.0,244.0,14.0,676.0
WUE,Dfb,5.93,-17.13,-0.62,-0.66,1.11,-0.33,0.2,-0.5,7.0,459.0,21.0,705.0
