Variable,kg_label,% Change,% Change,CI 2.5%,CI 2.5%,CI 97.5%,CI 97.5%,Midday Δ,Midday Δ,N drought days,N drought days,N non-drought days,N non-drought days
,,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET
ET,BSk,-4.48,-25.5,-66.78,-66.14,39.12,-37.57,-10.89,-51.47,7.0,286.0,58.0,1036.0
ET,BWk,18.7,-25.08,-16.72,-108.07,76.57,-40.61,31.83,-74.14,7.0,186.0,24.0,825.0
ET,Cfb,-15.58,-8.14,-96.86,-32.0,14.07,-11.89,-40.59,-22.13,10.0,577.0,71.0,1245.0
ET,Csa,17.32,-31.67,-18.54,-79.43,105.37,-58.34,43.06,-69.11,6.0,449.0,28.0,919.0
ET,Dfa,5.99,-0.69,-14.58,-18.95,48.98,15.72,17.53,-2.22,6.0,182.0,18.0,705.0
ET,Dfb,-6.13,2.3,-49.28,-4.61,16.61,16.29,-17.33,6.05,8.0,397.0,23.0,725.0
GPP,BSk,-3.6,-28.01,-2.39,-2.65,1.75,-1.48,-0.35,-2.08,7.0,286.0,58.0,1036.0
GPP,BWk,42.34,-16.59,0.29,-4.53,3.66,-0.36,1.92,-2.36,7.0,186.0,24.0,825.0
GPP,Cfb,-34.26,-5.12,-9.03,-1.52,-2.63,-0.14,-5.79,-0.83,10.0,577.0,71.0,1245.0
GPP,Csa,53.69,-42.94,-0.53,-5.64,13.11,-4.41,5.96,-5.01,6.0,449.0,28.0,919.0
GPP,Dfa,-10.98,-17.31,-9.66,-5.69,6.67,-2.65,-2.44,-4.16,6.0,182.0,18.0,705.0
GPP,Dfb,-0.67,-2.63,-4.19,-1.08,4.53,0.13,-0.11,-0.47,8.0,397.0,23.0,725.0
WUE,BSk,23.36,12.69,-1.16,0.01,2.79,0.3,0.59,0.16,7.0,286.0,58.0,1036.0
WUE,BWk,65.2,-30.95,0.11,-0.79,1.8,-0.46,0.94,-0.62,7.0,186.0,24.0,825.0
WUE,Cfb,-2.29,-7.0,-2.17,-0.33,2.14,0.03,-0.11,-0.17,10.0,577.0,71.0,1245.0
WUE,Csa,21.63,8.48,-0.45,-0.0,1.43,0.29,0.58,0.15,6.0,449.0,28.0,919.0
WUE,Dfa,-13.06,-17.25,-2.24,-0.54,1.03,-0.29,-0.59,-0.42,6.0,182.0,18.0,705.0
WUE,Dfb,8.8,-18.84,-0.5,-0.67,1.16,-0.41,0.29,-0.54,8.0,397.0,23.0,725.0
