Variable,veg,% Change,% Change,CI 2.5%,CI 2.5%,CI 97.5%,CI 97.5%,Midday Δ,Midday Δ,N drought days,N drought days,N non-drought days,N non-drought days
,,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET
ET,BSV,17.22,-48.74,-19.13,-59.52,68.33,-36.9,24.21,-48.17,9.0,93.0,65.0,287.0
ET,CRO,-0.44,-3.53,-24.3,-23.01,21.39,4.5,-0.96,-9.45,43.0,489.0,152.0,1021.0
ET,CVM,-0.09,-85.69,-35.97,-242.46,32.67,-221.43,-0.25,-232.35,21.0,22.0,103.0,721.0
ET,DBF,3.66,-16.05,-19.38,-68.32,44.83,-44.84,12.34,-56.09,13.0,449.0,65.0,644.0
ET,EBF,12.1,-21.44,-6.16,-64.07,85.94,-39.05,41.68,-51.93,12.0,363.0,56.0,1257.0
ET,ENF,-1.84,13.07,-52.89,22.22,38.46,45.04,-6.02,34.13,21.0,413.0,121.0,847.0
ET,GRA,-1.05,-9.74,-25.53,-33.03,24.45,-14.87,-2.18,-24.62,45.0,880.0,175.0,1427.0
ET,MF,0.18,1.24,-37.3,-14.91,35.08,21.81,0.57,3.79,23.0,332.0,119.0,611.0
ET,OSH,18.31,3.52,-11.55,-13.96,58.4,28.61,22.51,7.25,20.0,239.0,70.0,876.0
ET,SAV,0.09,-65.02,-25.65,-106.56,27.27,-86.92,0.23,-96.65,30.0,241.0,120.0,667.0
ET,WET,10.52,1.17,-2.91,-13.52,69.18,21.6,31.66,3.75,11.0,230.0,55.0,915.0
ET,WSA,0.32,13.45,-27.01,9.07,28.54,39.13,0.96,25.1,34.0,399.0,149.0,1185.0
GPP,BSV,181.58,38.02,-2.46,0.33,3.91,0.9,0.87,0.63,9.0,93.0,65.0,287.0
GPP,CRO,-13.67,-4.88,-4.41,-2.11,0.22,0.27,-2.2,-0.86,43.0,489.0,152.0,1021.0
GPP,CVM,-7.24,-100.0,-5.11,-16.62,2.59,-14.83,-1.49,-15.69,21.0,22.0,103.0,721.0
GPP,DBF,-9.88,-5.21,-7.2,-1.69,1.59,-0.51,-2.46,-1.1,13.0,449.0,65.0,644.0
GPP,EBF,-11.95,-15.43,-4.42,-3.1,1.09,-1.68,-1.76,-2.4,12.0,363.0,56.0,1257.0
GPP,ENF,-3.04,-2.51,-2.04,-0.94,1.85,0.09,-0.35,-0.41,21.0,413.0,121.0,847.0
GPP,GRA,-10.26,-20.79,-3.21,-3.27,1.14,-2.19,-1.05,-2.73,45.0,880.0,175.0,1427.0
GPP,MF,1.24,-10.39,-2.88,-3.13,3.31,-1.03,0.21,-2.17,23.0,332.0,119.0,611.0
GPP,OSH,57.11,-1.58,-0.1,-1.02,3.49,0.77,1.72,-0.11,20.0,239.0,70.0,876.0
GPP,SAV,1.08,-45.6,-2.59,-2.66,3.11,-1.91,0.14,-2.3,30.0,241.0,120.0,667.0
GPP,WET,-33.32,-21.54,-8.49,-3.83,0.41,-2.07,-3.97,-2.97,11.0,230.0,55.0,915.0
GPP,WSA,-3.48,-4.34,-2.88,-1.25,2.21,0.43,-0.47,-0.41,34.0,399.0,149.0,1185.0
WUE,BSV,-155.57,93.74,-3.1,0.67,1.21,1.24,-0.71,0.94,9.0,93.0,65.0,287.0
WUE,CRO,-11.41,-6.37,-1.29,-0.42,0.26,0.09,-0.54,-0.17,43.0,489.0,152.0,1021.0
WUE,CVM,-22.17,-100.0,-2.92,-1.86,0.21,-1.69,-1.23,-1.77,21.0,22.0,103.0,721.0
WUE,DBF,1.08,-3.71,-1.24,-0.25,1.46,0.05,0.05,-0.1,13.0,449.0,65.0,644.0
WUE,EBF,-20.24,14.77,-1.59,0.2,0.38,0.53,-0.58,0.35,12.0,363.0,56.0,1257.0
WUE,ENF,7.24,-17.27,-0.77,-0.54,1.4,-0.3,0.19,-0.42,21.0,413.0,121.0,847.0
WUE,GRA,20.82,-24.57,-0.34,-0.55,1.62,-0.38,0.59,-0.46,45.0,880.0,175.0,1427.0
WUE,MF,8.04,-20.3,-0.73,-0.83,1.5,-0.37,0.3,-0.6,23.0,332.0,119.0,611.0
WUE,OSH,34.52,-11.82,-0.38,-0.26,1.39,0.01,0.53,-0.14,20.0,239.0,70.0,876.0
WUE,SAV,-1.22,94.16,-1.41,1.17,1.19,2.17,-0.04,1.67,30.0,241.0,120.0,667.0
WUE,WET,-46.05,-26.96,-2.29,-0.61,-0.22,-0.27,-1.23,-0.45,11.0,230.0,55.0,915.0
WUE,WSA,0.36,-28.89,-0.8,-0.64,0.98,-0.43,0.01,-0.53,34.0,399.0,149.0,1185.0
