Variable,veg,Centroid Shift (hrs),Centroid Shift (hrs),Shift CI 2.5%,Shift CI 2.5%,Shift CI 97.5%,Shift CI 97.5%
,,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET
ET,BSV,0.08,0.38,-0.15,0.04,0.31,0.72
ET,CRO,-0.03,-0.01,-0.17,-0.03,0.11,0.01
ET,CVM,0.02,0.23,-0.15,0.09,0.19,0.33
ET,DBF,-0.29,-0.06,-0.45,-0.09,-0.12,-0.03
ET,EBF,0.04,-0.05,-0.13,-0.11,0.21,0.01
ET,ENF,-0.18,0.08,-0.34,0.04,-0.02,0.12
ET,GRA,-0.12,-0.03,-0.31,-0.05,0.08,0.0
ET,MF,-0.04,0.05,-0.22,-0.01,0.13,0.12
ET,OSH,0.23,0.01,-0.17,-0.05,0.66,0.08
ET,SAV,0.08,-0.24,-0.09,-0.31,0.26,-0.18
ET,WET,0.22,-0.04,-0.01,-0.09,0.45,0.0
ET,WSA,-0.22,0.1,-0.36,0.04,-0.07,0.15
GPP,BSV,6.19,0.22,-33.42,0.11,61.48,0.34
GPP,CRO,-0.41,-0.06,-0.73,-0.08,-0.09,-0.04
GPP,CVM,-0.01,0.06,-0.2,0.01,0.2,0.11
GPP,DBF,-0.36,-0.11,-0.52,-0.13,-0.2,-0.09
GPP,EBF,-0.06,0.08,-0.46,0.05,0.29,0.12
GPP,ENF,-0.42,-0.02,-0.7,-0.05,-0.13,0.0
GPP,GRA,-0.64,0.01,-1.07,-0.02,-0.22,0.03
GPP,MF,0.21,0.01,-0.11,-0.03,0.69,0.05
GPP,OSH,-0.62,-0.0,-1.75,-0.08,0.72,0.07
GPP,SAV,-0.13,-0.41,-0.51,-0.47,0.2,-0.36
GPP,WET,-0.43,-0.09,-0.98,-0.13,0.03,-0.05
GPP,WSA,-0.55,-0.1,-0.83,-0.15,-0.26,-0.05
WUE,BSV,-9.39,0.22,-39.31,-0.08,25.28,0.51
WUE,CRO,-1.36,-0.08,-1.75,-0.15,-0.99,-0.02
WUE,CVM,0.07,0.09,-0.26,-0.07,0.35,0.25
WUE,DBF,-1.12,-0.15,-1.45,-0.23,-0.75,-0.06
WUE,EBF,0.12,0.33,-0.48,0.22,0.7,0.42
WUE,ENF,-0.87,-0.39,-1.38,-0.51,-0.34,-0.27
WUE,GRA,-1.5,0.07,-2.04,-0.0,-0.9,0.14
WUE,MF,0.42,-0.29,-0.35,-0.45,2.31,-0.11
WUE,OSH,-0.95,0.06,-1.91,-0.11,0.19,0.23
WUE,SAV,-0.62,0.11,-1.15,-0.01,-0.08,0.22
WUE,WET,-0.71,-0.06,-1.55,-0.19,-0.01,0.07
WUE,WSA,-1.24,-0.23,-1.8,-0.33,-0.7,-0.12
