Variable,kg_label,Centroid Shift (hrs),Centroid Shift (hrs),Shift CI 2.5%,Shift CI 2.5%,Shift CI 97.5%,Shift CI 97.5%
,,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET
ET,BSk,0.26,0.13,0.05,0.07,0.48,0.19
ET,BWh,-0.43,0.09,-0.79,-0.07,-0.09,0.24
ET,BWk,-0.63,0.19,-0.98,0.13,-0.3,0.25
ET,Cfa,-0.97,0.04,-1.13,0.01,-0.83,0.06
ET,Cfb,0.65,-0.17,0.52,-0.2,0.79,-0.15
ET,Csa,-0.34,0.0,-0.51,-0.04,-0.16,0.04
ET,Csb,-0.69,-0.14,-0.86,-0.22,-0.53,-0.07
ET,Dfa,0.08,-0.04,-0.05,-0.07,0.22,-0.01
ET,Dfb,0.49,-0.01,0.38,-0.04,0.61,0.02
GPP,BSk,-0.14,0.15,-0.63,0.07,0.33,0.23
GPP,BWh,-0.24,-0.3,-1.33,-0.4,0.6,-0.2
GPP,BWk,-0.82,0.08,-1.6,0.02,0.27,0.15
GPP,Cfa,-0.57,-0.01,-0.79,-0.04,-0.32,0.01
GPP,Cfb,0.88,-0.14,0.69,-0.16,1.1,-0.12
GPP,Csa,-0.01,-0.01,-0.26,-0.04,0.29,0.03
GPP,Csb,-0.49,0.06,-0.88,-0.0,-0.13,0.12
GPP,Dfa,0.16,-0.1,-0.01,-0.12,0.33,-0.07
GPP,Dfb,-0.3,0.0,-0.59,-0.02,0.09,0.03
WUE,BSk,0.03,0.31,-0.56,0.13,0.69,0.49
WUE,BWh,0.03,0.17,-1.4,0.0,0.9,0.34
WUE,BWk,-0.96,-0.19,-1.83,-0.38,0.21,0.0
WUE,Cfa,0.06,-0.22,-0.34,-0.29,0.49,-0.14
WUE,Cfb,1.06,-0.19,0.71,-0.26,1.39,-0.12
WUE,Csa,0.25,-0.2,-0.33,-0.28,0.93,-0.12
WUE,Csb,0.21,0.71,-0.4,0.51,0.79,0.92
WUE,Dfa,0.75,-0.08,0.44,-0.16,1.06,-0.0
WUE,Dfb,-2.48,-0.02,-2.92,-0.1,-1.75,0.07
