Variable,kg_label,Centroid Shift (hrs),Centroid Shift (hrs),Shift CI 2.5%,Shift CI 2.5%,Shift CI 97.5%,Shift CI 97.5%
,,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET
ET,BSk,0.65,-0.2,0.44,-0.28,0.84,-0.13
ET,BWk,0.16,-0.06,-0.15,-0.15,0.47,0.04
ET,Cfa,-0.42,0.02,-0.58,-0.01,-0.26,0.05
ET,Cfb,0.22,-0.12,0.11,-0.15,0.32,-0.09
ET,Csa,-0.42,-0.32,-0.59,-0.41,-0.25,-0.25
ET,Dfa,0.51,-0.02,0.38,-0.05,0.65,0.01
ET,Dfb,0.4,0.01,0.26,-0.02,0.54,0.04
GPP,BSk,0.28,-0.1,-0.11,-0.2,0.63,-0.02
GPP,BWk,0.22,-0.15,-0.26,-0.24,0.74,-0.04
GPP,Cfa,-0.12,0.03,-0.33,0.0,0.11,0.05
GPP,Cfb,0.59,-0.1,0.4,-0.13,0.78,-0.07
GPP,Csa,-0.83,-0.29,-1.08,-0.33,-0.57,-0.25
GPP,Dfa,0.59,-0.08,0.43,-0.11,0.76,-0.04
GPP,Dfb,0.6,0.0,0.37,-0.02,0.9,0.03
WUE,BSk,0.55,0.29,-0.04,0.05,1.12,0.54
WUE,BWk,-0.61,-0.26,-1.19,-0.52,-0.0,-0.01
WUE,Cfa,0.46,-0.06,-0.03,-0.13,0.95,0.03
WUE,Cfb,0.86,-0.13,0.54,-0.22,1.19,-0.05
WUE,Csa,-1.88,0.31,-2.33,0.18,-1.41,0.44
WUE,Dfa,0.76,-0.18,0.51,-0.28,1.0,-0.08
WUE,Dfb,0.3,-0.08,-0.12,-0.17,0.97,0.01
