Variable,veg,Centroid Shift (hrs),Centroid Shift (hrs),Shift CI 2.5%,Shift CI 2.5%,Shift CI 97.5%,Shift CI 97.5%
,,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET
ET,BSV,-0.23,0.22,-0.48,-0.18,0.05,0.58
ET,CRO,0.23,-0.11,0.07,-0.13,0.38,-0.08
ET,CVM,0.1,-0.72,-0.03,-0.98,0.22,-0.47
ET,DBF,-0.25,-0.1,-0.39,-0.14,-0.1,-0.08
ET,EBF,-0.04,-0.03,-0.18,-0.11,0.08,0.05
ET,ENF,0.04,0.14,-0.1,0.1,0.19,0.18
ET,GRA,0.08,0.01,-0.12,-0.02,0.25,0.03
ET,MF,-0.09,0.02,-0.27,-0.05,0.09,0.08
ET,OSH,-0.12,-0.03,-0.5,-0.1,0.3,0.04
ET,SAV,0.08,-0.28,-0.09,-0.38,0.26,-0.19
ET,WET,0.05,-0.14,-0.07,-0.2,0.19,-0.08
ET,WSA,0.07,0.15,-0.09,0.11,0.23,0.2
GPP,BSV,-29.41,0.19,-80.9,0.08,73.15,0.3
GPP,CRO,0.15,-0.07,-0.12,-0.09,0.41,-0.04
GPP,CVM,0.04,,-0.18,,0.24,
GPP,DBF,-0.31,-0.1,-0.45,-0.12,-0.14,-0.08
GPP,EBF,0.13,0.06,-0.18,0.03,0.47,0.09
GPP,ENF,-0.14,-0.0,-0.39,-0.04,0.12,0.03
GPP,GRA,-0.38,0.02,-0.69,-0.01,-0.07,0.05
GPP,MF,0.12,0.06,-0.17,0.02,0.53,0.1
GPP,OSH,-0.39,-0.09,-1.38,-0.17,0.79,-0.01
GPP,SAV,-0.2,-0.2,-0.52,-0.27,0.09,-0.13
GPP,WET,-0.4,-0.1,-0.71,-0.15,-0.07,-0.04
GPP,WSA,-0.32,-0.0,-0.62,-0.05,-0.03,0.05
WUE,BSV,7.57,0.04,-93.86,-0.19,119.06,0.28
WUE,CRO,-0.43,-0.2,-0.82,-0.28,-0.09,-0.12
WUE,CVM,-0.12,,-0.37,,0.14,
WUE,DBF,-0.98,-0.01,-1.35,-0.11,-0.65,0.08
WUE,EBF,0.59,0.35,0.15,0.24,1.01,0.46
WUE,ENF,-0.25,-0.32,-0.68,-0.43,0.2,-0.19
WUE,GRA,-0.77,0.09,-1.26,0.03,-0.29,0.17
WUE,MF,0.4,-0.05,-0.28,-0.23,2.11,0.14
WUE,OSH,-0.32,-0.31,-1.23,-0.49,1.0,-0.12
WUE,SAV,-0.84,0.46,-1.29,0.34,-0.42,0.59
WUE,WET,-0.85,0.18,-1.23,0.0,-0.48,0.36
WUE,WSA,-0.69,-0.15,-1.24,-0.27,-0.17,-0.04
