Variable,veg,SPEI Bin,ECOCO,FLUXNET,Difference (hrs)
ET,BSV,Drought,11:37,11:50,-0.22
ET,BSV,Non-Drought,11:32,11:27,0.07
ET,CRO,Drought,11:48,12:00,-0.19
ET,CRO,Non-Drought,11:50,12:00,-0.17
ET,CVM,Drought,11:52,12:04,-0.19
ET,CVM,Non-Drought,11:51,11:50,0.02
ET,DBF,Drought,11:48,11:46,0.03
ET,DBF,Non-Drought,12:05,11:49,0.26
ET,EBF,Drought,11:55,11:27,0.47
ET,EBF,Non-Drought,11:53,11:30,0.37
ET,ENF,Drought,11:40,11:50,-0.17
ET,ENF,Non-Drought,11:51,11:45,0.09
ET,GRA,Drought,11:41,11:49,-0.13
ET,GRA,Non-Drought,11:48,11:51,-0.04
ET,MF,Drought,11:48,11:56,-0.12
ET,MF,Non-Drought,11:51,11:53,-0.03
ET,OSH,Drought,11:35,11:44,-0.15
ET,OSH,Non-Drought,11:21,11:43,-0.37
ET,SAV,Drought,11:46,11:31,0.25
ET,SAV,Non-Drought,11:41,11:45,-0.06
ET,WET,Drought,11:54,12:03,-0.14
ET,WET,Non-Drought,11:41,12:05,-0.4
ET,WSA,Drought,11:37,11:56,-0.32
ET,WSA,Non-Drought,11:50,11:50,-0.0
GPP,BSV,Drought,15:27,11:12,4.26
GPP,BSV,Non-Drought,09:16,10:59,-1.71
GPP,CRO,Drought,11:29,11:29,0.01
GPP,CRO,Non-Drought,11:54,11:32,0.36
GPP,CVM,Drought,11:50,11:38,0.19
GPP,CVM,Non-Drought,11:51,11:35,0.26
GPP,DBF,Drought,11:59,11:15,0.74
GPP,DBF,Non-Drought,12:21,11:22,0.99
GPP,EBF,Drought,12:05,11:25,0.67
GPP,EBF,Non-Drought,12:08,11:20,0.81
GPP,ENF,Drought,11:39,11:22,0.28
GPP,ENF,Non-Drought,12:04,11:23,0.68
GPP,GRA,Drought,11:41,11:29,0.21
GPP,GRA,Non-Drought,12:20,11:28,0.86
GPP,MF,Drought,11:54,11:26,0.46
GPP,MF,Non-Drought,11:42,11:26,0.27
GPP,OSH,Drought,11:03,11:22,-0.32
GPP,OSH,Non-Drought,11:40,11:22,0.3
GPP,SAV,Drought,11:57,10:43,1.22
GPP,SAV,Non-Drought,12:05,11:08,0.94
GPP,WET,Drought,11:20,11:30,-0.16
GPP,WET,Non-Drought,11:46,11:35,0.18
GPP,WSA,Drought,11:34,11:15,0.32
GPP,WSA,Non-Drought,12:07,11:21,0.77
WUE,BSV,Drought,14:00,11:05,2.93
WUE,BSV,Non-Drought,23:23,10:51,12.53
WUE,CRO,Drought,10:51,10:25,0.44
WUE,CRO,Non-Drought,12:13,10:30,1.72
WUE,CVM,Drought,12:00,10:53,1.13
WUE,CVM,Non-Drought,11:56,10:47,1.15
WUE,DBF,Drought,12:03,10:11,1.86
WUE,DBF,Non-Drought,13:10,10:20,2.83
WUE,EBF,Drought,12:22,11:18,1.07
WUE,EBF,Non-Drought,12:15,10:59,1.27
WUE,ENF,Drought,11:29,10:09,1.33
WUE,ENF,Non-Drought,12:21,10:32,1.82
WUE,GRA,Drought,11:21,10:40,0.67
WUE,GRA,Non-Drought,12:51,10:36,2.24
WUE,MF,Drought,12:09,10:18,1.84
WUE,MF,Non-Drought,11:43,10:35,1.13
WUE,OSH,Drought,10:54,10:59,-0.09
WUE,OSH,Non-Drought,11:50,10:55,0.92
WUE,SAV,Drought,12:19,10:27,1.87
WUE,SAV,Non-Drought,12:56,10:21,2.6
WUE,WET,Drought,11:11,10:39,0.54
WUE,WET,Non-Drought,11:54,10:42,1.2
WUE,WSA,Drought,11:18,10:36,0.7
WUE,WSA,Non-Drought,12:32,10:49,1.71
