Variable,kg_label,SPEI Bin,ECOCO,FLUXNET,Difference (hrs)
ET,BSk,Drought,12:05,12:01,0.06
ET,BSk,Non-Drought,11:49,11:53,-0.07
ET,BWh,Drought,11:48,11:55,-0.12
ET,BWh,Non-Drought,12:14,11:50,0.4
ET,BWk,Drought,11:06,11:52,-0.76
ET,BWk,Non-Drought,11:44,11:40,0.06
ET,Cfa,Drought,10:40,11:52,-1.2
ET,Cfa,Non-Drought,11:38,11:50,-0.19
ET,Cfb,Drought,12:27,11:45,0.7
ET,Cfb,Non-Drought,11:48,11:56,-0.13
ET,Csa,Drought,11:18,12:00,-0.7
ET,Csa,Non-Drought,11:38,12:00,-0.36
ET,Csb,Drought,11:07,11:48,-0.68
ET,Csb,Non-Drought,11:48,11:56,-0.14
ET,Dfa,Drought,11:47,11:58,-0.18
ET,Dfa,Non-Drought,11:42,12:00,-0.3
ET,Dfb,Drought,12:26,11:44,0.69
ET,Dfb,Non-Drought,11:56,11:45,0.2
GPP,BSk,Drought,11:24,11:40,-0.27
GPP,BSk,Non-Drought,11:32,11:31,0.02
GPP,BWh,Drought,12:29,11:10,1.32
GPP,BWh,Non-Drought,12:44,11:28,1.26
GPP,BWk,Drought,10:56,11:19,-0.39
GPP,BWk,Non-Drought,11:45,11:14,0.51
GPP,Cfa,Drought,10:26,11:23,-0.94
GPP,Cfa,Non-Drought,11:00,11:23,-0.38
GPP,Cfb,Drought,12:53,11:23,1.51
GPP,Cfb,Non-Drought,12:01,11:31,0.49
GPP,Csa,Drought,11:01,11:28,-0.45
GPP,Csa,Non-Drought,11:01,11:28,-0.45
GPP,Csb,Drought,11:25,11:43,-0.29
GPP,Csb,Non-Drought,11:54,11:39,0.26
GPP,Dfa,Drought,11:47,11:31,0.28
GPP,Dfa,Non-Drought,11:38,11:37,0.02
GPP,Dfb,Drought,11:51,11:21,0.5
GPP,Dfb,Non-Drought,12:09,11:21,0.8
WUE,BSk,Drought,10:53,11:07,-0.24
WUE,BSk,Non-Drought,10:51,10:48,0.04
WUE,BWh,Drought,12:35,11:10,1.42
WUE,BWh,Non-Drought,12:33,11:00,1.56
WUE,BWk,Drought,10:48,10:35,0.22
WUE,BWk,Non-Drought,11:46,10:46,0.99
WUE,Cfa,Drought,09:55,10:16,-0.35
WUE,Cfa,Non-Drought,09:52,10:29,-0.63
WUE,Cfb,Drought,13:21,10:18,3.05
WUE,Cfb,Non-Drought,12:18,10:29,1.81
WUE,Csa,Drought,10:49,10:39,0.16
WUE,Csa,Non-Drought,10:34,10:51,-0.29
WUE,Csb,Drought,11:37,11:34,0.05
WUE,Csb,Non-Drought,11:24,10:51,0.55
WUE,Dfa,Drought,12:28,10:35,1.88
WUE,Dfa,Non-Drought,11:42,10:40,1.04
WUE,Dfb,Drought,10:39,10:25,0.24
WUE,Dfb,Non-Drought,13:08,10:26,2.7
