Variable,kg_label,SPI Bin,ECOCO,FLUXNET,Difference (hrs)
ET,BSk,Drought,12:24,11:49,0.58
ET,BSk,Non-Drought,11:45,12:01,-0.27
ET,BWk,Drought,11:35,11:39,-0.06
ET,BWk,Non-Drought,11:25,11:42,-0.28
ET,Cfa,Drought,11:25,11:52,-0.44
ET,Cfa,Non-Drought,11:50,11:50,-0.01
ET,Cfb,Drought,12:03,11:47,0.27
ET,Cfb,Non-Drought,11:50,11:54,-0.07
ET,Csa,Drought,11:12,11:45,-0.55
ET,Csa,Non-Drought,11:37,12:04,-0.45
ET,Dfa,Drought,12:15,11:59,0.27
ET,Dfa,Non-Drought,11:45,12:00,-0.26
ET,Dfb,Drought,12:28,11:45,0.72
ET,Dfb,Non-Drought,12:04,11:44,0.33
GPP,BSk,Drought,11:44,11:27,0.28
GPP,BSk,Non-Drought,11:28,11:34,-0.1
GPP,BWk,Drought,11:28,11:06,0.37
GPP,BWk,Non-Drought,11:15,11:15,0.01
GPP,Cfa,Drought,11:18,11:25,-0.11
GPP,Cfa,Non-Drought,11:26,11:23,0.04
GPP,Cfb,Drought,12:34,11:25,1.16
GPP,Cfb,Non-Drought,11:59,11:31,0.47
GPP,Csa,Drought,10:43,11:12,-0.49
GPP,Csa,Non-Drought,11:33,11:30,0.06
GPP,Dfa,Drought,12:19,11:33,0.77
GPP,Dfa,Non-Drought,11:43,11:37,0.1
GPP,Dfb,Drought,12:48,11:21,1.44
GPP,Dfb,Non-Drought,12:12,11:21,0.85
WUE,BSk,Drought,11:23,11:05,0.31
WUE,BSk,Non-Drought,10:51,10:48,0.05
WUE,BWk,Drought,11:00,10:25,0.59
WUE,BWk,Non-Drought,11:37,10:41,0.93
WUE,Cfa,Drought,11:13,10:25,0.8
WUE,Cfa,Non-Drought,10:46,10:29,0.28
WUE,Cfb,Drought,13:07,10:22,2.75
WUE,Cfb,Non-Drought,12:16,10:30,1.75
WUE,Csa,Drought,09:51,11:05,-1.23
WUE,Csa,Non-Drought,11:43,10:46,0.96
WUE,Dfa,Drought,12:25,10:28,1.96
WUE,Dfa,Non-Drought,11:40,10:39,1.02
WUE,Dfb,Drought,13:13,10:24,2.82
WUE,Dfb,Non-Drought,12:55,10:29,2.44
