Variable,veg,SPI Bin,ECOCO,FLUXNET,Difference (hrs)
ET,BSV,Drought,11:13,11:39,-0.43
ET,BSV,Non-Drought,11:26,11:25,0.01
ET,CRO,Drought,12:04,11:56,0.12
ET,CRO,Non-Drought,11:50,12:03,-0.22
ET,CVM,Drought,11:58,11:08,0.85
ET,CVM,Non-Drought,11:53,11:51,0.03
ET,DBF,Drought,11:52,11:45,0.12
ET,DBF,Non-Drought,12:07,11:52,0.26
ET,EBF,Drought,11:50,11:28,0.36
ET,EBF,Non-Drought,11:52,11:30,0.37
ET,ENF,Drought,11:52,11:53,-0.01
ET,ENF,Non-Drought,11:50,11:45,0.09
ET,GRA,Drought,11:56,11:51,0.08
ET,GRA,Non-Drought,11:51,11:50,0.01
ET,MF,Drought,11:48,11:56,-0.14
ET,MF,Non-Drought,11:53,11:55,-0.04
ET,OSH,Drought,11:24,11:41,-0.27
ET,OSH,Non-Drought,11:31,11:43,-0.19
ET,SAV,Drought,11:52,11:27,0.42
ET,SAV,Non-Drought,11:47,11:44,0.06
ET,WET,Drought,11:43,11:54,-0.19
ET,WET,Non-Drought,11:40,12:03,-0.39
ET,WSA,Drought,11:53,11:59,-0.09
ET,WSA,Non-Drought,11:49,11:50,-0.01
GPP,BSV,Drought,-25:-12,11:13,-36.42
GPP,BSV,Non-Drought,04:12,11:01,-6.82
GPP,CRO,Drought,12:02,11:28,0.57
GPP,CRO,Non-Drought,11:53,11:32,0.35
GPP,CVM,Non-Drought,11:54,11:35,0.31
GPP,DBF,Drought,12:03,11:17,0.78
GPP,DBF,Non-Drought,12:22,11:23,0.99
GPP,EBF,Drought,12:11,11:25,0.77
GPP,EBF,Non-Drought,12:03,11:21,0.7
GPP,ENF,Drought,11:50,11:23,0.45
GPP,ENF,Non-Drought,11:59,11:23,0.59
GPP,GRA,Drought,11:58,11:30,0.46
GPP,GRA,Non-Drought,12:21,11:29,0.86
GPP,MF,Drought,11:53,11:30,0.39
GPP,MF,Non-Drought,11:46,11:26,0.32
GPP,OSH,Drought,11:20,11:16,0.06
GPP,OSH,Non-Drought,11:43,11:22,0.35
GPP,SAV,Drought,11:59,10:57,1.02
GPP,SAV,Non-Drought,12:11,11:09,1.02
GPP,WET,Drought,11:23,11:28,-0.08
GPP,WET,Non-Drought,11:47,11:34,0.22
GPP,WSA,Drought,11:52,11:19,0.56
GPP,WSA,Non-Drought,12:11,11:19,0.87
WUE,BSV,Drought,25:47,11:04,14.71
WUE,BSV,Non-Drought,18:13,11:02,7.18
WUE,CRO,Drought,11:48,10:17,1.52
WUE,CRO,Non-Drought,12:13,10:28,1.75
WUE,CVM,Non-Drought,12:03,10:49,1.24
WUE,DBF,Drought,12:09,10:21,1.79
WUE,DBF,Non-Drought,13:08,10:22,2.75
WUE,EBF,Drought,12:39,11:23,1.27
WUE,EBF,Non-Drought,12:04,11:02,1.03
WUE,ENF,Drought,11:59,10:14,1.76
WUE,ENF,Non-Drought,12:14,10:33,1.69
WUE,GRA,Drought,12:00,10:44,1.27
WUE,GRA,Non-Drought,12:46,10:38,2.13
WUE,MF,Drought,12:09,10:31,1.63
WUE,MF,Non-Drought,11:45,10:34,1.18
WUE,OSH,Drought,11:33,10:36,0.95
WUE,OSH,Non-Drought,11:53,10:55,0.97
WUE,SAV,Drought,12:02,10:55,1.11
WUE,SAV,Non-Drought,12:52,10:28,2.42
WUE,WET,Drought,11:04,10:51,0.21
WUE,WET,Non-Drought,11:55,10:41,1.24
WUE,WSA,Drought,12:05,10:34,1.52
WUE,WSA,Non-Drought,12:47,10:43,2.06
