Variable,veg,% Change,% Change,CI 2.5%,CI 2.5%,CI 97.5%,CI 97.5%,Midday Δ,Midday Δ,N drought days,N drought days,N non-drought days,N non-drought days
,,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET
ET,BSV,-8.86,-47.88,-42.67,-66.48,16.05,-37.34,-12.86,-51.23,26.0,62.0,54.0,163.0
ET,CRO,-11.81,-1.57,-50.78,-18.25,-5.1,9.55,-27.33,-4.49,56.0,657.0,128.0,887.0
ET,CVM,-5.08,-27.65,-46.06,-103.26,15.61,-49.91,-14.25,-76.38,26.0,124.0,82.0,676.0
ET,DBF,-6.82,-12.57,-61.36,-53.47,15.86,-32.21,-23.21,-43.05,16.0,520.0,56.0,644.0
ET,EBF,5.48,-24.85,-24.82,-71.72,66.99,-52.16,18.59,-62.16,16.0,512.0,42.0,1212.0
ET,ENF,-1.33,-10.02,-36.74,-38.86,29.05,-17.51,-4.19,-28.48,33.0,552.0,96.0,736.0
ET,GRA,-23.6,-21.42,-73.03,-63.93,-29.17,-48.32,-51.34,-56.3,69.0,969.0,142.0,1405.0
ET,MF,0.92,14.57,-31.92,23.8,34.59,60.54,2.83,42.51,32.0,362.0,98.0,550.0
ET,OSH,-17.25,-19.72,-53.92,-60.34,3.26,-26.01,-24.54,-43.2,40.0,321.0,40.0,872.0
ET,SAV,-12.75,-48.98,-62.65,-87.88,-7.67,-66.79,-34.97,-77.47,37.0,489.0,86.0,394.0
ET,WET,1.15,5.3,-34.57,-1.2,47.78,33.65,3.37,16.86,12.0,382.0,35.0,820.0
ET,WSA,-7.56,-17.69,-44.39,-51.38,-0.74,-20.72,-23.02,-35.69,47.0,455.0,123.0,983.0
GPP,BSV,-108.6,35.04,-1.44,0.35,15.3,1.07,5.71,0.71,26.0,62.0,54.0,163.0
GPP,CRO,-15.64,-12.17,-3.66,-3.38,-1.14,-1.36,-2.42,-2.35,56.0,657.0,128.0,887.0
GPP,CVM,-8.93,14.93,-2.94,-0.01,-0.17,4.7,-1.57,2.41,26.0,124.0,82.0,676.0
GPP,DBF,-6.02,-12.48,-2.88,-3.23,0.37,-2.07,-1.19,-2.67,16.0,520.0,56.0,644.0
GPP,EBF,7.74,-24.04,-0.78,-4.56,3.14,-3.25,1.11,-3.94,16.0,512.0,42.0,1212.0
GPP,ENF,-3.94,-22.63,-1.51,-4.37,0.61,-3.14,-0.51,-3.79,33.0,552.0,96.0,736.0
GPP,GRA,-21.09,-32.48,-3.83,-5.04,-0.46,-4.05,-2.2,-4.54,69.0,969.0,142.0,1405.0
GPP,MF,1.55,-2.9,-1.13,-1.54,1.71,0.5,0.24,-0.6,32.0,362.0,98.0,550.0
GPP,OSH,44.7,-27.85,-1.37,-3.06,4.73,-1.63,1.27,-2.34,40.0,321.0,40.0,872.0
GPP,SAV,-10.74,-66.35,-3.4,-4.07,0.35,-3.28,-1.48,-3.66,37.0,489.0,86.0,394.0
GPP,WET,-21.51,-10.42,-7.9,-2.26,2.12,-0.73,-2.68,-1.54,12.0,382.0,35.0,820.0
GPP,WSA,-11.03,-31.91,-3.14,-4.2,0.11,-2.52,-1.5,-3.38,47.0,455.0,123.0,983.0
WUE,BSV,-134.9,104.05,-0.4,0.74,6.56,1.49,2.52,1.14,26.0,62.0,54.0,163.0
WUE,CRO,-4.89,-2.3,-0.59,-0.2,0.2,0.12,-0.2,-0.05,56.0,657.0,128.0,887.0
WUE,CVM,-5.69,31.15,-0.71,0.29,0.29,0.87,-0.22,0.56,26.0,124.0,82.0,676.0
WUE,DBF,0.65,-17.41,-0.47,-0.66,0.51,-0.34,0.02,-0.49,16.0,520.0,56.0,644.0
WUE,EBF,-1.16,6.83,-0.71,0.02,0.56,0.33,-0.03,0.17,16.0,512.0,42.0,1212.0
WUE,ENF,-4.86,-24.04,-0.65,-0.68,0.39,-0.45,-0.13,-0.57,33.0,552.0,96.0,736.0
WUE,GRA,7.98,-29.02,-0.38,-0.69,0.83,-0.48,0.22,-0.58,69.0,969.0,142.0,1405.0
WUE,MF,1.99,-21.71,-0.45,-0.87,0.67,-0.45,0.06,-0.65,32.0,362.0,98.0,550.0
WUE,OSH,34.16,-1.46,-0.64,-0.17,1.81,0.12,0.53,-0.02,40.0,321.0,40.0,872.0
WUE,SAV,-4.35,-16.09,-0.66,-0.53,0.37,-0.01,-0.14,-0.26,37.0,489.0,86.0,394.0
WUE,WET,-29.58,-23.79,-2.07,-0.59,0.29,-0.29,-0.79,-0.44,12.0,382.0,35.0,820.0
WUE,WSA,-5.45,-20.44,-0.68,-0.57,0.41,-0.25,-0.15,-0.41,47.0,455.0,123.0,983.0
