Variable,kg_label,% Change,% Change,CI 2.5%,CI 2.5%,CI 97.5%,CI 97.5%,Midday Δ,Midday Δ,N drought days,N drought days,N non-drought days,N non-drought days
,,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET
ET,BSk,-33.53,-38.48,-129.66,-82.87,-45.23,-60.13,-86.27,-71.46,15.0,527.0,49.0,866.0
ET,BWh,17.67,-64.22,-26.96,-91.77,61.99,-77.17,19.45,-84.57,17.0,325.0,8.0,604.0
ET,BWk,-1.0,-1.04,-51.8,-34.12,52.29,26.09,-1.65,-2.97,14.0,349.0,10.0,730.0
ET,Cfb,-25.2,-12.99,-108.82,-44.86,-21.16,-27.24,-64.41,-35.72,10.0,663.0,58.0,1152.0
ET,Csa,1.73,-18.86,-51.75,-55.97,62.76,-29.49,4.51,-43.26,9.0,735.0,17.0,718.0
ET,Csb,11.91,-14.43,-21.75,-53.74,71.28,-22.01,25.15,-37.39,11.0,181.0,22.0,333.0
ET,Dfa,5.7,-8.88,-15.5,-42.83,58.69,-14.44,16.81,-29.02,8.0,244.0,14.0,676.0
ET,Dfb,-3.37,2.63,-52.49,-3.25,34.95,18.54,-9.81,7.07,7.0,459.0,21.0,705.0
GPP,BSk,-25.43,-28.63,-4.71,-2.5,-0.85,-1.31,-2.73,-1.91,15.0,527.0,49.0,866.0
GPP,BWh,85.8,-61.66,-1.93,-3.24,5.95,-2.53,1.94,-2.88,17.0,325.0,8.0,604.0
GPP,BWk,32.41,-2.62,-0.94,-1.93,4.04,0.97,1.54,-0.36,14.0,349.0,10.0,730.0
GPP,Cfb,-17.56,-10.35,-5.42,-2.35,0.26,-1.07,-2.49,-1.72,10.0,663.0,58.0,1152.0
GPP,Csa,-1.63,-20.39,-3.82,-2.86,3.83,-1.52,-0.21,-2.22,9.0,735.0,17.0,718.0
GPP,Csb,14.09,-26.34,-2.87,-3.76,6.31,-2.34,1.51,-3.02,11.0,181.0,22.0,333.0
GPP,Dfa,-2.47,-13.51,-4.44,-4.65,4.46,-2.11,-0.42,-3.35,8.0,244.0,14.0,676.0
GPP,Dfb,11.1,-0.25,-1.54,-0.71,4.79,0.59,1.58,-0.05,7.0,459.0,21.0,705.0
WUE,BSk,26.24,52.54,-0.18,0.47,1.51,0.85,0.63,0.65,15.0,527.0,49.0,866.0
WUE,BWh,52.14,18.7,-1.7,0.04,3.24,0.53,0.67,0.27,17.0,325.0,8.0,604.0
WUE,BWk,50.33,-25.16,-0.3,-0.76,1.79,-0.34,0.73,-0.55,14.0,349.0,10.0,730.0
WUE,Cfb,31.71,-14.19,-0.68,-0.5,3.08,-0.21,1.05,-0.36,10.0,663.0,58.0,1152.0
WUE,Csa,-5.66,0.49,-0.96,-0.11,0.63,0.14,-0.18,0.01,9.0,735.0,17.0,718.0
WUE,Csb,-22.6,-25.84,-2.64,-0.73,0.88,-0.26,-0.91,-0.49,11.0,181.0,22.0,333.0
WUE,Dfa,-0.1,-6.51,-0.92,-0.3,1.14,-0.04,-0.0,-0.17,8.0,244.0,14.0,676.0
WUE,Dfb,18.8,-17.13,-0.12,-0.66,1.23,-0.34,0.52,-0.5,7.0,459.0,21.0,705.0
