Variable,kg_label,% Change,% Change,CI 2.5%,CI 2.5%,CI 97.5%,CI 97.5%,Midday Δ,Midday Δ,N drought days,N drought days,N non-drought days,N non-drought days
,,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET
ET,BSk,-4.48,-25.5,-66.43,-64.65,34.71,-37.35,-10.89,-51.47,7.0,286.0,58.0,1036.0
ET,BWk,18.7,-25.08,-12.96,-108.13,75.61,-40.0,31.83,-74.14,7.0,186.0,24.0,825.0
ET,Cfb,-15.58,-8.14,-96.47,-31.4,14.93,-11.51,-40.59,-22.13,10.0,577.0,71.0,1245.0
ET,Csa,17.32,-31.67,-19.39,-79.46,108.95,-58.47,43.06,-69.11,6.0,449.0,28.0,919.0
ET,Dfa,5.99,-0.69,-17.28,-18.74,51.08,14.87,17.53,-2.22,6.0,182.0,18.0,705.0
ET,Dfb,-6.13,2.3,-49.43,-5.04,13.85,17.13,-17.33,6.05,8.0,397.0,23.0,725.0
GPP,BSk,4.35,-28.01,-1.66,-2.64,2.45,-1.5,0.43,-2.08,7.0,286.0,58.0,1036.0
GPP,BWk,53.18,-16.59,1.07,-4.43,4.58,-0.2,2.89,-2.36,7.0,186.0,24.0,825.0
GPP,Cfb,-20.64,-5.12,-5.68,-1.51,-0.63,-0.13,-3.08,-0.83,10.0,577.0,71.0,1245.0
GPP,Csa,28.08,-42.94,-0.3,-5.59,7.06,-4.38,3.37,-5.01,6.0,449.0,28.0,919.0
GPP,Dfa,-0.97,-17.31,-4.33,-5.71,3.93,-2.65,-0.16,-4.16,6.0,182.0,18.0,705.0
GPP,Dfb,7.12,-2.63,-2.0,-1.11,4.56,0.16,1.0,-0.47,8.0,397.0,23.0,725.0
WUE,BSk,29.05,12.69,-0.69,0.02,2.31,0.31,0.66,0.16,7.0,286.0,58.0,1036.0
WUE,BWk,56.17,-30.95,0.17,-0.79,1.84,-0.45,0.96,-0.62,7.0,186.0,24.0,825.0
WUE,Cfb,14.26,-7.0,-1.12,-0.35,2.28,-0.0,0.5,-0.17,10.0,577.0,71.0,1245.0
WUE,Csa,4.87,8.48,-0.41,-0.01,0.68,0.29,0.15,0.15,6.0,449.0,28.0,919.0
WUE,Dfa,-2.08,-17.25,-0.96,-0.55,1.03,-0.3,-0.07,-0.42,6.0,182.0,18.0,705.0
WUE,Dfb,16.41,-18.84,-0.11,-0.66,1.1,-0.41,0.46,-0.54,8.0,397.0,23.0,725.0
