Variable,veg,% Change,% Change,CI 2.5%,CI 2.5%,CI 97.5%,CI 97.5%,Midday Δ,Midday Δ,N drought days,N drought days,N non-drought days,N non-drought days
,,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET
ET,BSV,17.22,-48.74,-17.88,-59.61,74.62,-37.16,24.21,-48.17,9.0,93.0,65.0,287.0
ET,CRO,-0.44,-3.53,-25.23,-24.65,24.13,4.79,-0.96,-9.45,43.0,489.0,152.0,1021.0
ET,CVM,-0.09,-85.69,-36.59,-242.71,35.25,-221.64,-0.25,-232.35,21.0,22.0,103.0,721.0
ET,DBF,3.66,-16.05,-23.43,-67.79,44.63,-44.41,12.34,-56.09,13.0,449.0,65.0,644.0
ET,EBF,12.1,-21.44,-3.14,-64.66,87.33,-38.54,41.68,-51.93,12.0,363.0,56.0,1257.0
ET,ENF,-1.84,13.07,-54.13,21.94,37.49,46.52,-6.02,34.13,21.0,413.0,121.0,847.0
ET,GRA,-1.05,-9.74,-25.84,-32.86,23.83,-15.19,-2.18,-24.62,45.0,880.0,175.0,1427.0
ET,MF,0.18,1.24,-39.84,-16.73,37.87,23.16,0.57,3.79,23.0,332.0,119.0,611.0
ET,OSH,18.31,3.52,-12.62,-12.91,57.72,27.03,22.51,7.25,20.0,239.0,70.0,876.0
ET,SAV,0.09,-65.02,-27.23,-106.01,27.89,-86.57,0.23,-96.65,30.0,241.0,120.0,667.0
ET,WET,10.52,1.17,-3.24,-14.16,68.24,21.01,31.66,3.75,11.0,230.0,55.0,915.0
ET,WSA,0.32,13.45,-27.44,10.98,28.57,38.15,0.96,25.1,34.0,399.0,149.0,1185.0
GPP,BSV,-108.23,38.02,-4.6,0.36,14.17,0.93,4.67,0.63,9.0,93.0,65.0,287.0
GPP,CRO,-4.87,-4.88,-2.12,-2.08,0.66,0.34,-0.71,-0.86,43.0,489.0,152.0,1021.0
GPP,CVM,-4.01,-100.0,-2.31,-16.69,0.93,-14.87,-0.7,-15.69,21.0,22.0,103.0,721.0
GPP,DBF,-5.03,-5.21,-2.87,-1.72,0.76,-0.46,-0.97,-1.1,13.0,449.0,65.0,644.0
GPP,EBF,-5.29,-15.43,-2.71,-3.13,0.93,-1.69,-0.77,-2.4,12.0,363.0,56.0,1257.0
GPP,ENF,-0.16,-2.51,-1.12,-0.92,1.19,0.16,-0.02,-0.41,21.0,413.0,121.0,847.0
GPP,GRA,2.06,-20.79,-1.29,-3.25,1.75,-2.17,0.21,-2.73,45.0,880.0,175.0,1427.0
GPP,MF,1.25,-10.39,-1.44,-3.22,1.76,-1.16,0.2,-2.17,23.0,332.0,119.0,611.0
GPP,OSH,58.91,-1.58,-0.31,-1.03,4.96,0.82,2.3,-0.11,20.0,239.0,70.0,876.0
GPP,SAV,4.26,-45.6,-1.15,-2.67,2.19,-1.95,0.56,-2.3,30.0,241.0,120.0,667.0
GPP,WET,-26.17,-21.54,-8.24,-3.88,1.93,-2.15,-3.02,-2.97,11.0,230.0,55.0,915.0
GPP,WSA,1.69,-4.34,-1.44,-1.22,1.92,0.48,0.22,-0.41,34.0,399.0,149.0,1185.0
WUE,BSV,-79.52,93.74,-2.54,0.66,4.94,1.21,1.14,0.94,9.0,93.0,65.0,287.0
WUE,CRO,-2.06,-6.37,-0.56,-0.43,0.41,0.07,-0.08,-0.17,43.0,489.0,152.0,1021.0
WUE,CVM,-4.06,-100.0,-0.73,-1.86,0.45,-1.69,-0.16,-1.77,21.0,22.0,103.0,721.0
WUE,DBF,-11.56,-3.71,-0.78,-0.25,-0.01,0.06,-0.4,-0.1,13.0,449.0,65.0,644.0
WUE,EBF,-17.96,14.77,-1.09,0.19,0.09,0.52,-0.47,0.35,12.0,363.0,56.0,1257.0
WUE,ENF,9.55,-17.27,-0.42,-0.54,1.04,-0.3,0.24,-0.42,21.0,413.0,121.0,847.0
WUE,GRA,15.53,-24.57,-0.19,-0.55,1.14,-0.38,0.44,-0.46,45.0,880.0,175.0,1427.0
WUE,MF,9.65,-20.3,-0.45,-0.83,1.14,-0.37,0.29,-0.6,23.0,332.0,119.0,611.0
WUE,OSH,18.86,-11.82,-0.73,-0.26,1.49,0.01,0.4,-0.14,20.0,239.0,70.0,876.0
WUE,SAV,4.38,94.16,-0.33,1.19,0.56,2.15,0.13,1.67,30.0,241.0,120.0,667.0
WUE,WET,-39.73,-26.96,-1.94,-0.61,0.09,-0.26,-0.94,-0.45,11.0,230.0,55.0,915.0
WUE,WSA,4.92,-28.89,-0.47,-0.64,0.82,-0.41,0.13,-0.53,34.0,399.0,149.0,1185.0
